uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
PA,1507003,SANTO ANTÔNIO DO TAUÁ,30129,30611,1.60%,NÃO,Norte
PA,1507102,SÃO CAETANO DE ODIVELAS,17492,17563,0.41%,NÃO,Norte
PA,1507151,SÃO DOMINGOS DO ARAGUAIA,24659,24859,0.81%,NÃO,Norte
PA,1507201,SÃO DOMINGOS DO CAPIM,30987,31123,0.44%,NÃO,Norte
PA,1507300,SÃO FÉLIX DO XINGU,120580,124806,3.50%,NÃO,Norte
PA,1507409,SÃO FRANCISCO DO PARÁ,15418,15454,0.23%,NÃO,Norte
PA,1507458,SÃO GERALDO DO ARAGUAIA,24394,24188,-0.84%,NÃO,Norte
PA,1507466,SÃO JOÃO DA PONTA,5884,5970,1.46%,NÃO,Norte
PA,1507474,SÃO JOÃO DE PIRABAS,22207,22415,0.94%,NÃO,Norte
PA,1507508,SÃO JOÃO DO ARAGUAIA,13569,13616,0.35%,NÃO,Norte
PA,1507607,SÃO MIGUEL DO GUAMÁ,56667,57364,1.23%,NÃO,Norte
PA,1507706,SÃO SEBASTIÃO DA BOA VISTA,25540,25904,1.43%,NÃO,Norte
PA,1507755,SAPUCAIA,5678,5766,1.55%,NÃO,Norte
PA,1507805,SENADOR JOSÉ PORFÍRIO,11587,11357,-1.98%,NÃO,Norte
PA,1507904,SOURE,24488,24682,0.79%,NÃO,Norte
PA,1507953,TAILÂNDIA,100300,103321,3.01%,NÃO,Norte
PA,1507961,TERRA ALTA,11262,11399,1.22%,NÃO,Norte
PA,1507979,TERRA SANTA,18105,18257,0.84%,NÃO,Norte
PA,1508001,TOMÉ-AÇU,61095,61709,1.00%,NÃO,Norte
PA,1508035,TRACUATEUA,29793,30108,1.06%,NÃO,Norte
PA,1508050,TRAIRÃO,18280,18469,1.03%,NÃO,Norte
PA,1508084,TUCUMÃ,37920,38508,1.55%,NÃO,Norte
PA,1508100,TUCURUÍ,108885,110516,1.50%,NÃO,Norte
PA,1508126,ULIANÓPOLIS,55739,57525,3.20%,NÃO,Norte
PA,1508159,URUARÁ,44370,44258,-0.25%,NÃO,Norte
PA,1508209,VIGIA,51705,52216,0.99%,NÃO,Norte
PA,1508308,VISEU,59401,59735,0.56%,NÃO,Norte
PA,1508357,VITÓRIA DO XINGU,14566,14719,1.05%,NÃO,Norte
PA,1508407,XINGUARA,43188,43530,0.79%,NÃO,Norte
AP,1600055,SERRA DO NAVIO,5025,5111,1.71%,NÃO,Norte
AP,1600105,AMAPÁ,8690,8757,0.77%,NÃO,Norte
AP,1600154,PEDRA BRANCA DO AMAPARI,14560,15125,3.88%,NÃO,Norte
AP,1600204,CALÇOENE,10345,10525,1.74%,NÃO,Norte
AP,1600212,CUTIAS,5523,5637,2.06%,NÃO,Norte
AP,1600238,FERREIRA GOMES,7087,7270,2.58%,NÃO,Norte
AP,1600253,ITAUBAL,5061,5172,2.19%,NÃO,Norte
AP,1600279,LARANJAL DO JARI,46639,47554,1.96%,NÃO,Norte
AP,1600303,MACAPÁ,465495,474706,1.98%,NÃO,Norte
AP,1600402,MAZAGÃO,19981,20387,2.03%,NÃO,Norte
AP,1600501,OIAPOQUE,24892,25514,2.50%,NÃO,Norte
