ANO,UF,Município,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
2010,22,COCAL DE TELHA,33.4,1.75,71.78,22.7,9.17,26.2,40.86,0.51,14.89,11.33,245.15,4525,415,0.225,0.399,0.78,0.55,0.555
2010,22,COCAL DOS ALVES,36.12,3.0,71.73,22.8,6.98,46.74,57.95,0.59,30.28,22.4,183.59,5554,389,0.175,0.315,0.779,0.504,0.498
2010,22,COIVARAS,31.74,2.27,68.92,31.3,8.63,20.9,41.27,0.48,12.13,8.99,234.94,3803,329,0.283,0.453,0.732,0.543,0.565
2010,22,COLÔNIA DO GURGUÉIA,22.03,7.42,71.7,22.9,8.5,17.1,33.09,0.49,12.24,9.12,291.37,6005,513,0.433,0.55,0.778,0.578,0.628
2010,22,COLÔNIA DO PIAUÍ,34.89,3.38,71.34,23.9,7.96,21.6,38.35,0.51,14.39,10.58,277.73,7431,592,0.262,0.462,0.772,0.57,0.588
2010,22,CONCEIÇÃO DO CANINDÉ,30.16,3.74,70.54,26.2,9.9,22.54,40.31,0.53,16.61,11.7,258.93,4470,443,0.296,0.482,0.759,0.559,0.589
2010,22,CORONEL JOSÉ DIAS,32.45,4.42,68.49,32.7,8.43,39.46,51.52,0.57,30.58,25.83,200.41,4538,383,0.277,0.433,0.725,0.518,0.546
2010,22,CORRENTE,18.82,10.74,72.31,21.2,6.68,20.97,40.16,0.6,26.09,17.38,378.39,25294,1697,0.447,0.54,0.789,0.62,0.642
2010,22,CRISTALÂNDIA DO PIAUÍ,25.81,3.84,71.18,24.4,6.79,40.47,58.48,0.61,30.27,21.39,204.49,7831,532,0.297,0.469,0.77,0.521,0.573
2010,22,CRISTINO CASTRO,24.86,4.89,67.77,35.2,7.36,25.13,40.6,0.59,24.36,16.86,307.32,9886,735,0.305,0.434,0.713,0.586,0.566
2010,22,CURIMATÁ,18.46,6.8,69.47,29.5,7.29,21.27,40.77,0.55,17.98,12.59,285.52,10745,785,0.388,0.527,0.741,0.574,0.607
2010,22,CURRAIS,32.73,2.23,69.55,29.2,6.8,34.88,54.66,0.51,17.22,13.85,168.68,4691,320,0.281,0.438,0.743,0.49,0.542
2010,22,CURRALINHOS,31.07,2.23,70.7,25.7,7.84,32.68,54.34,0.53,17.11,13.05,193.65,4163,328,0.272,0.438,0.762,0.512,0.555
2010,22,CURRAL NOVO DO PIAUÍ,35.45,3.15,66.1,41.5,5.67,37.49,58.42,0.58,25.23,18.32,186.24,4862,276,0.252,0.422,0.685,0.506,0.527
2010,22,DEMERVAL LOBÃO,25.45,3.13,71.88,22.4,8.98,12.84,30.16,0.48,11.53,8.47,311.48,13243,1192,0.37,0.515,0.781,0.588,0.618
2010,22,DIRCEU ARCOVERDE,28.81,2.81,68.06,34.2,8.93,26.24,40.47,0.52,17.09,13.23,265.3,6642,596,0.279,0.436,0.718,0.563,0.561
2010,22,DOM EXPEDITO LOPES,26.7,4.27,70.69,25.8,7.7,17.1,34.92,0.52,14.23,10.1,300.31,6555,506,0.314,0.488,0.762,0.583,0.601
2010,22,DOMINGOS MOURÃO,31.05,3.33,70.28,27.0,8.49,30.7,49.67,0.56,21.08,15.5,240.24,4258,362,0.236,0.403,0.755,0.547,0.55
