id,nome,meio,cidade,uf,estado,regiao,pais,fonte
id1086,FOLHA DE SABARA,Jornal,Sabará,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1087,JORNAL EXPRESSO,Jornal,Sacramento,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1088,O  ESTADO DO TRIANGULO,Jornal,Sacramento,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1089,O TRIUNFO,Jornal,Santa Bárbara,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id109,NUCLEO DE NOTICIAS,Online,Vitória da Conquista,BA,Bahia,Nordeste,Brasil,Secom/PR
id1090,BIGORNA,Jornal,Santa Bárbara,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1091,VOZ DO  CARAÇA,Jornal,Santa Bárbara,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1092,O GRITO,Jornal,Santa Luzia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1093,MURO DE PEDRA,Jornal,Santa Luzia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1094,O VALE DO ELETRONICA,Jornal,Santa Rita do Sapucaí,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1095,GAZETA MONTENSE,Jornal,Santo Antônio do Monte,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1096,MENSAGEM,Jornal,Santos Dumont,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1097,PANORAMA REGIONAL,Jornal,Santos Dumont,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1098,JORNAL DO POVO,Jornal,Santos Dumont,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1099,TRIBUNA DO PRATA,Jornal,São Domingos do Prata,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id11,A GAZETA,Jornal,Rio Branco,AC,Acre,Norte,Brasil,Secom/PR
id110,VC-SITE DA CIDADE,Online,Vitória da Conquista,BA,Bahia,Nordeste,Brasil,Secom/PR
id1100,EM DIA,Jornal,São Gonçalo do Sapucaí,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1101,JORNAL DE MINAS,Jornal,São João del Rei,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1102,FOLHA DAS VERTENTES,Jornal,São João del Rei,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1103,GAZETA DE SAO JOAO DEL REY,Jornal,São João del Rei,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
