UF,CÓDIGO MUNICÍPIO,NOME-UF,"2016
(TCU)","2017
(DOU)",TCG 2016-17,"SOFREU REMANEJAMENTO POPULACIONAL DEVIDO A ALTERAÇÃO DE LIMITES ENTRE MUNICÍPIOS, ENTRE 2016 E 2017?"
PA,1507755,Sapucaia-PA,"5,678","5,766",1.55%,NÃO
PA,1507805,Senador José Porfírio-PA,"11,587","11,357",-1.98%,NÃO
PA,1507904,Soure-PA,"24,488","24,682",0.79%,NÃO
PA,1507953,Tailândia-PA,"100,300","103,321",3.01%,NÃO
PA,1507961,Terra Alta-PA,"11,262","11,399",1.22%,NÃO
PA,1507979,Terra Santa-PA,"18,105","18,257",0.84%,NÃO
PA,1508001,Tomé-Açu-PA,"61,095","61,709",1.00%,NÃO
PA,1508035,Tracuateua-PA,"29,793","30,108",1.06%,NÃO
PA,1508050,Trairão-PA,"18,280","18,469",1.03%,NÃO
PA,1508084,Tucumã-PA,"37,920","38,508",1.55%,NÃO
PA,1508100,Tucuruí-PA,"108,885","110,516",1.50%,NÃO
PA,1508126,Ulianópolis-PA,"55,739","57,525",3.20%,NÃO
PA,1508159,Uruará-PA,"44,370","44,258",-0.25%,NÃO
PA,1508209,Vigia-PA,"51,705","52,216",0.99%,NÃO
PA,1508308,Viseu-PA,"59,401","59,735",0.56%,NÃO
PA,1508357,Vitória do Xingu-PA,"14,566","14,719",1.05%,NÃO
PA,1508407,Xinguara-PA,"43,188","43,530",0.79%,NÃO
AP,1600055,Serra do Navio-AP,"5,025","5,111",1.71%,NÃO
AP,1600105,Amapá-AP,"8,690","8,757",0.77%,NÃO
AP,1600154,Pedra Branca do Amapari-AP,"14,560","15,125",3.88%,NÃO
AP,1600204,Calçoene-AP,"10,345","10,525",1.74%,NÃO
AP,1600212,Cutias-AP,"5,523","5,637",2.06%,NÃO
AP,1600238,Ferreira Gomes-AP,"7,087","7,270",2.58%,NÃO
AP,1600253,Itaubal-AP,"5,061","5,172",2.19%,NÃO
AP,1600279,Laranjal do Jari-AP,"46,639","47,554",1.96%,NÃO
AP,1600303,Macapá-AP,"465,495","474,706",1.98%,NÃO
AP,1600402,Mazagão-AP,"19,981","20,387",2.03%,NÃO
AP,1600501,Oiapoque-AP,"24,892","25,514",2.50%,NÃO
AP,1600535,Porto Grande-AP,"20,143","20,611",2.32%,NÃO
AP,1600550,Pracuúba-AP,"4,655","4,779",2.66%,NÃO
AP,1600600,Santana-AP,"113,854","115,471",1.42%,NÃO
AP,1600709,Tartarugalzinho-AP,"15,665","16,112",2.85%,NÃO
AP,1600808,Vitória do Jari-AP,"14,680","14,991",2.12%,NÃO
TO,1700251,Abreulândia-TO,"2,555","2,571",0.63%,NÃO
TO,1700301,Aguiarnópolis-TO,"6,307","6,460",2.43%,NÃO
TO,1700350,Aliança do Tocantins-TO,"5,565","5,527",-0.68%,NÃO
TO,1700400,Almas-TO,"7,340","7,273",-0.91%,NÃO
TO,1700707,Alvorada-TO,"8,526","8,516",-0.12%,NÃO
TO,1701002,Ananás-TO,"9,798","9,749",-0.50%,NÃO
TO,1701051,Angico-TO,"3,401","3,423",0.65%,NÃO
TO,1701101,Aparecida do Rio Negro-TO,"4,672","4,726",1.16%,NÃO
TO,1701309,Aragominas-TO,"5,887","5,865",-0.37%,NÃO
TO,1701903,Araguacema-TO,"6,934","7,003",1.00%,NÃO
TO,1702000,Araguaçu-TO,"8,734","8,692",-0.48%,NÃO
TO,1702109,Araguaína-TO,"173,112","175,960",1.65%,NÃO
TO,1702158,Araguanã-TO,"5,581","5,645",1.15%,NÃO
TO,1702208,Araguatins-TO,"34,810","35,216",1.17%,NÃO
TO,1702307,Arapoema-TO,"6,777","6,756",-0.31%,NÃO
TO,1702406,Arraias-TO,"10,752","10,727",-0.23%,NÃO
TO,1702554,Augustinópolis-TO,"17,861","18,089",1.28%,NÃO
TO,1702703,Aurora do Tocantins-TO,"3,709","3,735",0.70%,NÃO
TO,1702901,Axixá do Tocantins-TO,"9,741","9,776",0.36%,NÃO
TO,1703008,Babaçulândia-TO,"10,744","10,752",0.07%,NÃO
TO,1703057,Bandeirantes do Tocantins-TO,"3,460","3,500",1.16%,NÃO
TO,1703073,Barra do Ouro-TO,"4,503","4,544",0.91%,NÃO
TO,1703107,Barrolândia-TO,"5,622","5,643",0.37%,NÃO
TO,1703206,Bernardo Sayão-TO,"4,525","4,518",-0.15%,NÃO
TO,1703305,Bom Jesus do Tocantins-TO,"4,590","4,700",2.40%,NÃO
TO,1703602,Brasilândia do Tocantins-TO,"2,188","2,199",0.50%,NÃO
TO,1703701,Brejinho de Nazaré-TO,"5,475","5,499",0.44%,NÃO
TO,1703800,Buriti do Tocantins-TO,"10,988","11,135",1.34%,NÃO
TO,1703826,Cachoeirinha-TO,"2,266","2,276",0.44%,NÃO
TO,1703842,Campos Lindos-TO,"9,604","9,795",1.99%,NÃO
TO,1703867,Cariri do Tocantins-TO,"4,238","4,296",1.37%,NÃO
TO,1703883,Carmolândia-TO,"2,531","2,555",0.95%,NÃO
TO,1703891,Carrasco Bonito-TO,"4,019","4,055",0.90%,NÃO
TO,1703909,Caseara-TO,"5,193","5,265",1.39%,NÃO
TO,1704105,Centenário-TO,"2,835","2,866",1.09%,NÃO
TO,1704600,Chapada de Areia-TO,"1,402","1,407",0.36%,NÃO
TO,1705102,Chapada da Natividade-TO,"3,363","3,364",0.03%,NÃO
TO,1705508,Colinas do Tocantins-TO,"34,416","34,839",1.23%,NÃO
TO,1705557,Combinado-TO,"4,863","4,874",0.23%,NÃO
TO,1705607,Conceição do Tocantins-TO,"4,194","4,179",-0.36%,NÃO
TO,1706001,Couto Magalhães-TO,"5,477","5,529",0.95%,NÃO
TO,1706100,Cristalândia-TO,"7,380","7,374",-0.08%,NÃO
TO,1706258,Crixás do Tocantins-TO,"1,694","1,708",0.83%,NÃO
TO,1706506,Darcinópolis-TO,"5,912","5,988",1.29%,NÃO
TO,1707009,Dianópolis-TO,"21,457","21,738",1.31%,NÃO
TO,1707108,Divinópolis do Tocantins-TO,"6,823","6,868",0.66%,NÃO
TO,1707207,Dois Irmãos do Tocantins-TO,"7,294","7,286",-0.11%,NÃO
TO,1707306,Dueré-TO,"4,725","4,727",0.04%,NÃO
TO,1707405,Esperantina-TO,"10,651","10,793",1.33%,NÃO
TO,1707553,Fátima-TO,"3,882","3,879",-0.08%,NÃO
TO,1707652,Figueirópolis-TO,"5,369","5,352",-0.32%,NÃO
