id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte
id575,Jornal,FATOS POPULARES,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id1210,Jornal,FOLHA INTEGRAÇAO,APARECIDA DO TABOADO,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1211,Jornal,JORNAL DO BOLSAO,APARECIDA DO TABOADO,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id3974,Jornal,APIAI TEM,APIAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id5372,Jornal,CABEÇO NEGRO,APIÚNA,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc
id5373,Jornal,PAROLE,APIÚNA,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc
id1520,Online,TRIBUNA DO NORTE - TN ONLINE,APUCARANA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id1635,Jornal,EXPRESSO DE APURACANA,APUCARANA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id1636,Jornal,CORREIO DO VALE,APUCARANA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id1637,Jornal,O RADAR,APUCARANA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id1639,Jornal,PORTAL DO PARANA,APUCARANA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id5550,Jornal,REVISTA EXPRESSO,APUCARANA,n/d,PR,Paraná,Sul,Brasil,Adjori-Pr
id5876,Jornal,TRIBUNA DO NORTE,APUCARANA,n/d,PR,Paraná,Sul,Brasil,ANJ
id1165,Online,O PANTANEIRO,AQUIDAUANA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1212,Jornal,NOTICIAS DO ESTADO,AQUIDAUANA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1213,Jornal,O PANTANEIRO,AQUIDAUANA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id3204,Online,GAZETANEW,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3205,Online,BLOG PRIMEIRA MÃO,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3206,Online,PORTAL INFONET,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3207,Online,CINFORM,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3208,Online,MAIS ALÔ,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3209,Online,JORNAL DO DIA ON LINE,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3210,Online,BLOG DO MAX,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3211,Online,NE NOTICIAS,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3212,Online,AJN1 - AGÊNCIA JORNAL DE NOTÍCIAS,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3213,Online,CANÇÃO NOVA,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3214,Online,PRODUTORA DE COMUNICAÇÃO,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3215,Online,JORNAL DA CIDADE.NET (PORTAL JC),ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3218,Jornal,CINFORM,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3219,Jornal,CORREIO DE SERGIPE,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3221,Jornal,SUPER POPULAR,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id3223,Jornal,GAZETA NEW,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,Secom/PR
id5812,Jornal,JORNAL DA CIDADE,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,ANJ
id5813,Jornal,JORNAL DO DIA,ARACAJU,n/d,SE,Sergipe,Nordeste,Brasil,ANJ
id3227,Online,FOLHA DA REGIAO,ARAÇATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3228,Online,O LIBERAL REGIONAL (LR1),ARAÇATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3975,Jornal,FOLHA DA REGIAO,ARAÇATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id5663,Jornal,FOLHA DA REGIÃO,ARAÇATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Central de Diários
id5664,Jornal,O LIBERAL REGIONAL,ARAÇATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Central de Diários
id113,Jornal,FOLHA DOS MUNICIPIOS,ARACI,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR
id439,Jornal,FOLHA DO LITORAL,ARACRUZ,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR
id576,Jornal,JORNAL LOCAL,ARAGARÇAS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id4845,Jornal,O NORTE,ARAGUAÍNA,n/d,TO,Tocantins,Norte,Brasil,Secom/PR
id5077,Online,PORTAL DE ARAGUARI,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Atlas da Notícia
id5640,Jornal,DIÁRIO DE ARAGUARI,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Central de Diários
id817,Jornal,GAZETA DO TRIANGULO,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id818,Jornal,INFORME DO COMÉRCIO,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id819,Jornal,BOTIJA PARDA,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id820,Jornal,DIARIO DE ARAGUARI,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id821,Jornal,CONTUDO,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id822,Jornal,CORREIO DE ARAGUARI,ARAGUARI,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id4829,Online,PORTAL NORTE DO TOCANTINS,ARAGUATINS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR
id1166,Online,ARAL MOREIRA NEWS,ARAL MOREIRA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id13,Online,7 SEGUNDOS,ARAPIRACA,n/d,AL,Alagoas,Nordeste,Brasil,Secom/PR
id14,Online,PORTAL JÁ É NOTÍCIA,ARAPIRACA,n/d,AL,Alagoas,Nordeste,Brasil,Secom/PR
id23,Jornal,ALAGOAS EM TEMPO,ARAPIRACA,n/d,AL,Alagoas,Nordeste,Brasil,Secom/PR
id1641,Jornal,O POVO NEWS,ARAPONGAS,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id5524,Jornal,GAZETA DA CIDADE,ARAPONGAS,n/d,PR,Paraná,Sul,Brasil,Adjori-Pr
id5374,Jornal,FOLHA DE ARAQUARI,ARAQUARI,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc
id2884,Jornal,IMPRESSO DO VALE,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2885,Jornal,SEMCENSURA,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2886,Jornal,O TEMPO DIÁRIO (EX O TEMPO),ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2887,Jornal,VOZ DO SUL,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2888,Jornal,NOTICIAS DA SEMANA,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2889,Jornal,SUL CATARINENSE,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id2890,Jornal,SEMANA NEWS,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR
id5694,Jornal,ENFOQUE POPULAR,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Central de Diários
id5695,Jornal,O TEMPO,ARARANGUÁ,n/d,SC,Santa Catarina,Sul,Brasil,Central de Diários
id3229,Online,ARARAQUARA NEWS,ARARAQUARA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3230,Online,AFRICAS,ARARAQUARA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
