meio,cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Jornal,PETRÓPOLIS,330390.0,3303906.0,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,294326.0,922.49,0.566,0.745,0.639,0.847,0.763
Jornal,ASSIS,350400.0,3504008.0,6,n/d,SP,São Paulo,Sudeste,Brasil,93038.0,967.39,0.689,0.805,0.781,0.865,0.771
Jornal,BRAGANÇA PAULISTA,350760.0,3507605.0,6,n/d,SP,São Paulo,Sudeste,Brasil,145407.0,974.08,0.623,0.776,0.704,0.861,0.772
Jornal,CAÇAPAVA,350850.0,3508504.0,6,n/d,SP,São Paulo,Sudeste,Brasil,84377.0,871.87,0.659,0.788,0.755,0.858,0.754
Jornal,CARAPICUÍBA,351060.0,3510609.0,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,368909.0,712.78,0.6,0.749,0.693,0.842,0.721
Jornal,COTIA,351300.0,3513009.0,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,199437.0,1085.66,0.639,0.78,0.707,0.851,0.789
Jornal,CUBATÃO,351350.0,3513504.0,6,n/d,SP,São Paulo,Sudeste,Brasil,118004.0,689.21,0.593,0.737,0.681,0.821,0.716
Jornal,FERNANDÓPOLIS,351550.0,3515509.0,6,n/d,SP,São Paulo,Sudeste,Brasil,64444.0,944.0,0.595,0.797,0.758,0.872,0.767
Jornal,GUARUJÁ,351870.0,3518701.0,6,n/d,SP,São Paulo,Sudeste,Brasil,290055.0,745.0,0.594,0.751,0.679,0.854,0.729
Jornal,APUCARANA,410140.0,4101408.0,6,n/d,PR,Paraná,Sul,Brasil,120486.0,804.81,0.548,0.748,0.668,0.845,0.741
Jornal,FOZ DO IGUAÇU,410830.0,4108304.0,6,n/d,PR,Paraná,Sul,Brasil,254276.0,842.26,0.591,0.751,0.661,0.858,0.748
Jornal,BRUSQUE,420290.0,4202909.0,6,n/d,SC,Santa Catarina,Sul,Brasil,104887.0,1116.93,0.591,0.795,0.707,0.894,0.794
Jornal,CANOINHAS,420380.0,4203808.0,6,n/d,SC,Santa Catarina,Sul,Brasil,52405.0,692.87,0.567,0.757,0.692,0.874,0.717
Jornal,CONCÓRDIA,420430.0,4204301.0,6,n/d,SC,Santa Catarina,Sul,Brasil,68285.0,1009.49,0.599,0.8,0.756,0.872,0.777
Jornal,PALHOÇA,421190.0,4211900.0,6,n/d,SC,Santa Catarina,Sul,Brasil,136699.0,862.74,0.609,0.757,0.672,0.859,0.752
Jornal,TIMBÓ,421820.0,4218202.0,6,n/d,SC,Santa Catarina,Sul,Brasil,36602.0,1214.03,0.601,0.784,0.697,0.856,0.807
Jornal,IJUÍ,431020.0,4310207.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,77957.0,1066.65,0.586,0.781,0.707,0.858,0.786
Jornal,LAJEADO,431140.0,4311403.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,70819.0,1130.85,0.61,0.778,0.704,0.84,0.796
Jornal,PASSO FUNDO,431410.0,4314100.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,183407.0,1068.95,0.663,0.776,0.699,0.849,0.787
Jornal,PELOTAS,431440.0,4314407.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,326650.0,894.35,0.58,0.739,0.632,0.844,0.758
Jornal,TORRES,432150.0,4321501.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,34446.0,853.62,0.584,0.762,0.685,0.862,0.75
Jornal,RIO VERDE,521880.0,5218805.0,6,n/d,GO,Goiás,Centro-Oeste,Brasil,175474.0,936.75,0.556,0.754,0.656,0.853,0.765
Jornal,BETIM,310670.0,3106705.0,5,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,376682.0,660.56,0.587,0.749,0.687,0.864,0.709
Jornal,CONSELHEIRO LAFAIETE,311830.0,3118304.0,5,n/d,MG,Minas Gerais,Sudeste,Brasil,116043.0,781.59,0.603,0.761,0.697,0.86,0.736
Jornal,DIVINÓPOLIS,312230.0,3122306.0,5,n/d,MG,Minas Gerais,Sudeste,Brasil,211866.0,868.57,0.593,0.764,0.702,0.844,0.753
Jornal,POUSO ALEGRE,315250.0,3152501.0,5,n/d,MG,Minas Gerais,Sudeste,Brasil,129577.0,878.26,0.619,0.774,0.704,0.872,0.755
Jornal,UBERABA,317010.0,3170107.0,5,n/d,MG,Minas Gerais,Sudeste,Brasil,292644.0,978.01,0.63,0.772,0.705,0.845,0.772
Jornal,GUARAPARI,320240.0,3202405.0,5,n/d,ES,Espírito Santo,Sudeste,Brasil,104656.0,830.51,0.564,0.731,0.626,0.837,0.746
Jornal,ANGRA DOS REIS,330010.0,3300100.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,168814.0,798.68,0.554,0.724,0.605,0.846,0.74
Jornal,BARRA MANSA,330040.0,3300407.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,177326.0,705.1,0.582,0.729,0.657,0.819,0.72
Jornal,MARICÁ,330270.0,3302700.0,5,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228.0,910.41,0.655,0.765,0.692,0.85,0.761
Jornal,RESENDE,330420.0,3304201.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,119435.0,915.21,0.664,0.768,0.709,0.839,0.762
Jornal,SANTO ANTÔNIO DE PÁDUA,330470.0,3304706.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40460.0,657.53,0.516,0.718,0.648,0.806,0.709
Jornal,TERESÓPOLIS,330580.0,3305802.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,162971.0,859.79,0.531,0.73,0.605,0.855,0.752
Jornal,VOLTA REDONDA,330630.0,3306305.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,257116.0,920.51,0.672,0.771,0.72,0.833,0.763
Jornal,ARARAQUARA,350320.0,3503208.0,5,n/d,SP,São Paulo,Sudeste,Brasil,206646.0,1080.66,0.687,0.815,0.782,0.877,0.788
Jornal,BOTUCATU,350750.0,3507506.0,5,n/d,SP,São Paulo,Sudeste,Brasil,126813.0,1089.1,0.653,0.8,0.746,0.869,0.79
Jornal,GUAÍRA,351740.0,3517406.0,5,n/d,SP,São Paulo,Sudeste,Brasil,37339.0,901.23,0.512,0.753,0.683,0.824,0.759
Jornal,ITANHAÉM,352210.0,3522109.0,5,n/d,SP,São Paulo,Sudeste,Brasil,86728.0,690.67,0.589,0.745,0.701,0.823,0.716
Jornal,ITAPETININGA,352230.0,3522307.0,5,n/d,SP,São Paulo,Sudeste,Brasil,140581.0,741.64,0.598,0.763,0.705,0.864,0.728
Jornal,JACAREÍ,352440.0,3524402.0,5,n/d,SP,São Paulo,Sudeste,Brasil,210767.0,846.53,0.66,0.777,0.749,0.837,0.749
Jornal,JAÚ,352530.0,3525300.0,5,n/d,SP,São Paulo,Sudeste,Brasil,130260.0,951.17,0.572,0.778,0.693,0.886,0.768
Jornal,MOGI GUAÇU,353070.0,3530706.0,5,n/d,SP,São Paulo,Sudeste,Brasil,136821.0,802.19,0.598,0.774,0.736,0.852,0.74
Jornal,SÃO JOSÉ DOS CAMPOS,354990.0,3549904.0,5,n/d,SP,São Paulo,Sudeste,Brasil,627707.0,1190.96,0.703,0.807,0.764,0.855,0.804
Jornal,TABOÃO DA SERRA,355280.0,3552809.0,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,243983.0,812.19,0.653,0.769,0.71,0.863,0.742
Jornal,CAMPO LARGO,410420.0,4104204.0,5,RM Curitiba,PR,Paraná,Sul,Brasil,111827.0,749.21,0.528,0.745,0.664,0.854,0.73
Jornal,LARANJEIRAS DO SUL,411330.0,4113304.0,5,n/d,PR,Paraná,Sul,Brasil,30561.0,659.33,0.43,0.706,0.594,0.835,0.709
Jornal,SÃO JOSÉ DOS PINHAIS,412550.0,4125506.0,5,RM Curitiba,PR,Paraná,Sul,Brasil,263194.0,846.93,0.617,0.758,0.678,0.859,0.749
Jornal,BIGUAÇU,420230.0,4202305.0,5,n/d,SC,Santa Catarina,Sul,Brasil,58014.0,764.37,0.58,0.739,0.659,0.836,0.733
Jornal,IMBITUBA,420730.0,4207304.0,5,n/d,SC,Santa Catarina,Sul,Brasil,39714.0,768.81,0.592,0.765,0.703,0.868,0.734
Jornal,NAVEGANTES,421130.0,4211306.0,5,n/d,SC,Santa Catarina,Sul,Brasil,60411.0,756.39,0.529,0.736,0.624,0.873,0.731
Jornal,PALMITOS,421210.0,4212106.0,5,n/d,SC,Santa Catarina,Sul,Brasil,15987.0,887.5,0.435,0.737,0.632,0.836,0.757
Jornal,XANXERÊ,421950.0,4219507.0,5,n/d,SC,Santa Catarina,Sul,Brasil,43612.0,906.11,0.593,0.775,0.711,0.861,0.76
Jornal,ARROIO GRANDE,430130.0,4301305.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,18364.0,528.13,0.409,0.657,0.522,0.807,0.673
Jornal,BAGÉ,430160.0,4301602.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,116108.0,795.56,0.585,0.74,0.647,0.848,0.739
Jornal,CARAZINHO,430470.0,4304705.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,58825.0,881.73,0.621,0.766,0.707,0.84,0.756
Jornal,GRAVATAÍ,430920.0,4309209.0,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,254991.0,737.29,0.611,0.736,0.636,0.862,0.727
Jornal,MONTENEGRO,431240.0,4312401.0,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,58537.0,914.23,0.575,0.755,0.654,0.866,0.761
