cidade,Codmun6,Codmun7,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
RESENDE,330420.0,3304201.0,5,4.19,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,119435.0,915.21,0.664,0.768,0.709,0.839,0.762
RONDONÓPOLIS,510760.0,5107602.0,8,4.14,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,193435.0,843.62,0.598,0.755,0.698,0.823,0.749
BRAGANÇA PAULISTA,350760.0,3507605.0,6,4.13,n/d,SP,São Paulo,Sudeste,Brasil,145407.0,974.08,0.623,0.776,0.704,0.861,0.772
ALVORADA,430060.0,4300604.0,8,4.1,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,194977.0,600.48,0.563,0.699,0.564,0.874,0.694
VARGINHA,317070.0,3170701.0,5,4.08,n/d,MG,Minas Gerais,Sudeste,Brasil,122584.0,904.57,0.629,0.778,0.707,0.875,0.76
URUGUAIANA,432240.0,4322400.0,5,4.02,n/d,RS,Rio Grande do Sul,Sul,Brasil,124283.0,714.26,0.606,0.744,0.661,0.863,0.722
COTIA,351300.0,3513009.0,8,4.01,RM São Paulo,SP,São Paulo,Sudeste,Brasil,199437.0,1085.66,0.639,0.78,0.707,0.851,0.789
ATIBAIA,350410.0,3504107.0,5,3.98,n/d,SP,São Paulo,Sudeste,Brasil,125501.0,1063.52,0.58,0.765,0.67,0.851,0.786
NITERÓI,330330.0,3303302.0,19,3.93,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,482950.0,2000.29,0.794,0.837,0.773,0.854,0.887
FOZ DO IGUAÇU,410830.0,4108304.0,10,3.93,n/d,PR,Paraná,Sul,Brasil,254276.0,842.26,0.591,0.751,0.661,0.858,0.748
BLUMENAU,420240.0,4202404.0,12,3.92,n/d,SC,Santa Catarina,Sul,Brasil,306393.0,1253.17,0.659,0.806,0.722,0.894,0.812
