cidade,jornal,online,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
UBERABA,5,3,n/d,MG,Minas Gerais,Sudeste,Brasil,292644.0,978.01,0.63,0.772,0.705,0.845,0.772
ALTA FLORESTA,5,1,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,48593.0,660.84,0.496,0.714,0.629,0.817,0.709
CAMPO LARGO,5,2,RM Curitiba,PR,Paraná,Sul,Brasil,111827.0,749.21,0.528,0.745,0.664,0.854,0.73
LARANJEIRAS DO SUL,5,2,n/d,PR,Paraná,Sul,Brasil,30561.0,659.33,0.43,0.706,0.594,0.835,0.709
SÃO JOSÉ DOS PINHAIS,5,2,RM Curitiba,PR,Paraná,Sul,Brasil,263194.0,846.93,0.617,0.758,0.678,0.859,0.749
ANGRA DOS REIS,5,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,168814.0,798.68,0.554,0.724,0.605,0.846,0.74
BARRA MANSA,5,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,177326.0,705.1,0.582,0.729,0.657,0.819,0.72
MARICÁ,5,1,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228.0,910.41,0.655,0.765,0.692,0.85,0.761
RESENDE,5,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,119435.0,915.21,0.664,0.768,0.709,0.839,0.762
SANTO ANTÔNIO DE PÁDUA,5,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40460.0,657.53,0.516,0.718,0.648,0.806,0.709
TERESÓPOLIS,5,1,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,162971.0,859.79,0.531,0.73,0.605,0.855,0.752
VOLTA REDONDA,5,2,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,257116.0,920.51,0.672,0.771,0.72,0.833,0.763
ARROIO GRANDE,5,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,18364.0,528.13,0.409,0.657,0.522,0.807,0.673
BAGÉ,5,1,n/d,RS,Rio Grande do Sul,Sul,Brasil,116108.0,795.56,0.585,0.74,0.647,0.848,0.739
CARAZINHO,5,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,58825.0,881.73,0.621,0.766,0.707,0.84,0.756
GRAVATAÍ,5,1,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,254991.0,737.29,0.611,0.736,0.636,0.862,0.727
MONTENEGRO,5,1,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,58537.0,914.23,0.575,0.755,0.654,0.866,0.761
RIO GRANDE,5,2,n/d,RS,Rio Grande do Sul,Sul,Brasil,195482.0,859.2,0.584,0.744,0.637,0.861,0.752
ROSÁRIO DO SUL,5,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,39469.0,643.97,0.483,0.699,0.576,0.841,0.705
SAPIRANGA,5,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,74784.0,713.99,0.46,0.711,0.598,0.832,0.722
SÃO GABRIEL,5,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,59422.0,667.06,0.475,0.699,0.585,0.822,0.711
URUGUAIANA,5,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,124283.0,714.26,0.606,0.744,0.661,0.863,0.722
BIGUAÇU,5,1,n/d,SC,Santa Catarina,Sul,Brasil,58014.0,764.37,0.58,0.739,0.659,0.836,0.733
IMBITUBA,5,1,n/d,SC,Santa Catarina,Sul,Brasil,39714.0,768.81,0.592,0.765,0.703,0.868,0.734
NAVEGANTES,5,0,n/d,SC,Santa Catarina,Sul,Brasil,60411.0,756.39,0.529,0.736,0.624,0.873,0.731
PALMITOS,5,1,n/d,SC,Santa Catarina,Sul,Brasil,15987.0,887.5,0.435,0.737,0.632,0.836,0.757
XANXERÊ,5,0,n/d,SC,Santa Catarina,Sul,Brasil,43612.0,906.11,0.593,0.775,0.711,0.861,0.76
ARARAQUARA,5,6,n/d,SP,São Paulo,Sudeste,Brasil,206646.0,1080.66,0.687,0.815,0.782,0.877,0.788
BOTUCATU,5,1,n/d,SP,São Paulo,Sudeste,Brasil,126813.0,1089.1,0.653,0.8,0.746,0.869,0.79
GUAÍRA,5,0,n/d,SP,São Paulo,Sudeste,Brasil,37339.0,901.23,0.512,0.753,0.683,0.824,0.759
ITANHAÉM,5,0,n/d,SP,São Paulo,Sudeste,Brasil,86728.0,690.67,0.589,0.745,0.701,0.823,0.716
ITAPETININGA,5,0,n/d,SP,São Paulo,Sudeste,Brasil,140581.0,741.64,0.598,0.763,0.705,0.864,0.728
JACAREÍ,5,0,n/d,SP,São Paulo,Sudeste,Brasil,210767.0,846.53,0.66,0.777,0.749,0.837,0.749
JAÚ,5,1,n/d,SP,São Paulo,Sudeste,Brasil,130260.0,951.17,0.572,0.778,0.693,0.886,0.768
MOGI GUAÇU,5,2,n/d,SP,São Paulo,Sudeste,Brasil,136821.0,802.19,0.598,0.774,0.736,0.852,0.74
SÃO JOSÉ DOS CAMPOS,5,6,n/d,SP,São Paulo,Sudeste,Brasil,627707.0,1190.96,0.703,0.807,0.764,0.855,0.804
TABOÃO DA SERRA,5,3,RM São Paulo,SP,São Paulo,Sudeste,Brasil,243983.0,812.19,0.653,0.769,0.71,0.863,0.742
