cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
ITU,352390,8.0,5.21818537603548,n/d,SP,São Paulo,Sudeste,Brasil,153310.0,1038.14,0.621,0.773,0.692,0.854,0.782
BAGÉ,430160,6.0,5.16760257691115,n/d,RS,Rio Grande do Sul,Sul,Brasil,116108.0,795.56,0.585,0.74,0.647,0.848,0.739
SANTA CRUZ DO SUL,431680,6.0,5.12080840495353,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169.0,1036.87,0.619,0.773,0.693,0.852,0.782
MOGI GUAÇU,353070,7.0,5.11617368678785,n/d,SP,São Paulo,Sudeste,Brasil,136821.0,802.19,0.598,0.774,0.736,0.852,0.74
CUBATÃO,351350,6.0,5.08457340429138,n/d,SP,São Paulo,Sudeste,Brasil,118004.0,689.21,0.593,0.737,0.681,0.821,0.716
GOIÂNIA,520870,65.0,5.01094312887914,n/d,GO,Goiás,Centro-Oeste,Brasil,1297161.0,1348.55,0.714,0.799,0.739,0.838,0.824
CABO FRIO,330070,9.0,4.85696245568022,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301.0,815.75,0.606,0.735,0.64,0.836,0.743
GUARAPUAVA,410940,8.0,4.8236648999994,n/d,PR,Paraná,Sul,Brasil,165849.0,750.09,0.519,0.731,0.628,0.853,0.73
RIO BRANCO,120040,16.0,4.80405462210105,n/d,AC,Acre,Norte,Brasil,333052.0,744.67,0.607,0.727,0.661,0.798,0.729
GUARAPARI,320240,5.0,4.77755694847883,n/d,ES,Espírito Santo,Sudeste,Brasil,104656.0,830.51,0.564,0.731,0.626,0.837,0.746
BOTUCATU,350750,6.0,4.73137612074472,n/d,SP,São Paulo,Sudeste,Brasil,126813.0,1089.1,0.653,0.8,0.746,0.869,0.79
MARICÁ,330270,6.0,4.71594303140818,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228.0,910.41,0.655,0.765,0.692,0.85,0.761
MARÍLIA,352900,10.0,4.67291903233193,n/d,SP,São Paulo,Sudeste,Brasil,213999.0,953.2,0.673,0.798,0.776,0.854,0.768
CASCAVEL,410480,13.0,4.61365927061596,n/d,PR,Paraná,Sul,Brasil,281772.0,1003.38,0.63,0.782,0.728,0.846,0.776
JAÚ,352530,6.0,4.60617227084293,n/d,SP,São Paulo,Sudeste,Brasil,130260.0,951.17,0.572,0.778,0.693,0.886,0.768
RIO VERDE,521880,8.0,4.55907997766051,n/d,GO,Goiás,Centro-Oeste,Brasil,175474.0,936.75,0.556,0.754,0.656,0.853,0.765
SINOP,510790,5.0,4.45934857835967,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,112124.0,877.68,0.571,0.754,0.682,0.832,0.755
CURITIBA,410690,77.0,4.42287765056739,RM Curitiba,PR,Paraná,Sul,Brasil,1740948.0,1581.04,0.74,0.823,0.768,0.855,0.85
BAURU,350600,15.0,4.41927747759426,n/d,SP,São Paulo,Sudeste,Brasil,339422.0,1163.86,0.672,0.801,0.752,0.854,0.8
PASSO FUNDO,431410,8.0,4.36188367946698,n/d,RS,Rio Grande do Sul,Sul,Brasil,183407.0,1068.95,0.663,0.776,0.699,0.849,0.787
SÃO JOSÉ,421660,9.0,4.31296813674984,n/d,SC,Santa Catarina,Sul,Brasil,208673.0,1157.43,0.728,0.809,0.752,0.88,0.799
CAMPO GRANDE,500270,33.0,4.24209780734963,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917.0,1089.37,0.667,0.784,0.724,0.844,0.79
SÃO LEOPOLDO,431870,9.0,4.22216071420194,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,213161.0,939.93,0.599,0.739,0.612,0.861,0.766
