cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
PETRÓPOLIS,Jornal,330390,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,294326,922.49,0.566,0.745,0.639,0.847,0.763
ASSIS,Jornal,350400,6,n/d,SP,São Paulo,Sudeste,Brasil,93038,967.39,0.689,0.805,0.781,0.865,0.771
BRAGANÇA PAULISTA,Jornal,350760,6,n/d,SP,São Paulo,Sudeste,Brasil,145407,974.08,0.623,0.776,0.704,0.861,0.772
CAÇAPAVA,Jornal,350850,6,n/d,SP,São Paulo,Sudeste,Brasil,84377,871.87,0.659,0.788,0.755,0.858,0.754
CARAPICUÍBA,Jornal,351060,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,368909,712.78,0.6,0.749,0.693,0.842,0.721
COTIA,Jornal,351300,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,199437,1085.66,0.639,0.78,0.707,0.851,0.789
CUBATÃO,Jornal,351350,6,n/d,SP,São Paulo,Sudeste,Brasil,118004,689.21,0.593,0.737,0.681,0.821,0.716
FERNANDÓPOLIS,Jornal,351550,6,n/d,SP,São Paulo,Sudeste,Brasil,64444,944.0,0.595,0.797,0.758,0.872,0.767
GUARUJÁ,Jornal,351870,6,n/d,SP,São Paulo,Sudeste,Brasil,290055,745.0,0.594,0.751,0.679,0.854,0.729
APUCARANA,Jornal,410140,6,n/d,PR,Paraná,Sul,Brasil,120486,804.81,0.548,0.748,0.668,0.845,0.741
FOZ DO IGUAÇU,Jornal,410830,6,n/d,PR,Paraná,Sul,Brasil,254276,842.26,0.591,0.751,0.661,0.858,0.748
BRUSQUE,Jornal,420290,6,n/d,SC,Santa Catarina,Sul,Brasil,104887,1116.93,0.591,0.795,0.707,0.894,0.794
CANOINHAS,Jornal,420380,6,n/d,SC,Santa Catarina,Sul,Brasil,52405,692.87,0.567,0.757,0.692,0.874,0.717
CONCÓRDIA,Jornal,420430,6,n/d,SC,Santa Catarina,Sul,Brasil,68285,1009.49,0.599,0.8,0.756,0.872,0.777
PALHOÇA,Jornal,421190,6,n/d,SC,Santa Catarina,Sul,Brasil,136699,862.74,0.609,0.757,0.672,0.859,0.752
TIMBÓ,Jornal,421820,6,n/d,SC,Santa Catarina,Sul,Brasil,36602,1214.03,0.601,0.784,0.697,0.856,0.807
IJUÍ,Jornal,431020,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,77957,1066.65,0.586,0.781,0.707,0.858,0.786
LAJEADO,Jornal,431140,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,70819,1130.85,0.61,0.778,0.704,0.84,0.796
PASSO FUNDO,Jornal,431410,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,183407,1068.95,0.663,0.776,0.699,0.849,0.787
PELOTAS,Jornal,431440,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,326650,894.35,0.58,0.739,0.632,0.844,0.758
TORRES,Jornal,432150,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,34446,853.62,0.584,0.762,0.685,0.862,0.75
RIO VERDE,Jornal,521880,6,n/d,GO,Goiás,Centro-Oeste,Brasil,175474,936.75,0.556,0.754,0.656,0.853,0.765
GUARAPARI,Jornal,320240,5,n/d,ES,Espírito Santo,Sudeste,Brasil,104656,830.51,0.564,0.731,0.626,0.837,0.746
ANGRA DOS REIS,Jornal,330010,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,168814,798.68,0.554,0.724,0.605,0.846,0.74
BARRA MANSA,Jornal,330040,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,177326,705.1,0.582,0.729,0.657,0.819,0.72
MARICÁ,Jornal,330270,5,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228,910.41,0.655,0.765,0.692,0.85,0.761
RESENDE,Jornal,330420,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,119435,915.21,0.664,0.768,0.709,0.839,0.762
SANTO ANTÔNIO DE PÁDUA,Jornal,330470,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40460,657.53,0.516,0.718,0.648,0.806,0.709
TERESÓPOLIS,Jornal,330580,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,162971,859.79,0.531,0.73,0.605,0.855,0.752
VOLTA REDONDA,Jornal,330630,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,257116,920.51,0.672,0.771,0.72,0.833,0.763
ARARAQUARA,Jornal,350320,5,n/d,SP,São Paulo,Sudeste,Brasil,206646,1080.66,0.687,0.815,0.782,0.877,0.788
BOTUCATU,Jornal,350750,5,n/d,SP,São Paulo,Sudeste,Brasil,126813,1089.1,0.653,0.8,0.746,0.869,0.79
GUAÍRA,Jornal,351740,5,n/d,SP,São Paulo,Sudeste,Brasil,37339,901.23,0.512,0.753,0.683,0.824,0.759
ITANHAÉM,Jornal,352210,5,n/d,SP,São Paulo,Sudeste,Brasil,86728,690.67,0.589,0.745,0.701,0.823,0.716
ITAPETININGA,Jornal,352230,5,n/d,SP,São Paulo,Sudeste,Brasil,140581,741.64,0.598,0.763,0.705,0.864,0.728
JACAREÍ,Jornal,352440,5,n/d,SP,São Paulo,Sudeste,Brasil,210767,846.53,0.66,0.777,0.749,0.837,0.749
