meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Online,BREJO SANTO,CE,1,22.68,6.43,71.06,23.4,7.96,13.83,32.29,0.52,14.93,10.28,325.64,44890.0,3598.0,0.464,0.592,0.768,0.596,0.647
Online,CRATO,CE,1,14.94,10.83,74.3,16.48,7.79,8.61,24.54,0.57,18.87,12.4,470.46,120655.0,9462.0,0.568,0.673,0.822,0.655,0.713
Online,CAICÓ,RN,1,15.34,8.84,74.45,13.4,8.82,3.69,12.1,0.56,17.18,11.03,637.13,62116.0,5529.0,0.499,0.619,0.824,0.703,0.71
Online,ARARUNA,PB,1,39.54,2.81,70.45,26.0,9.31,27.04,44.45,0.52,16.72,12.27,244.02,18813.0,1757.0,0.267,0.439,0.758,0.549,0.567
Online,CAJAZEIRAS,PB,1,19.45,8.49,73.87,17.0,9.23,9.05,21.8,0.56,18.19,12.16,511.56,58122.0,5394.0,0.442,0.574,0.815,0.668,0.679
Online,CONCEIÇÃO,PB,1,32.72,3.88,70.23,26.7,8.76,23.33,41.03,0.56,19.35,13.38,290.63,18258.0,1609.0,0.319,0.476,0.754,0.577,0.592
Online,SÃO BENTO,PB,1,33.59,2.99,71.16,24.0,6.22,7.37,28.67,0.47,10.84,7.64,328.99,30798.0,1921.0,0.243,0.424,0.769,0.597,0.58
Online,SÃO JOSÉ DE PIRANHAS,PB,1,25.03,3.43,70.31,26.4,9.61,17.56,32.25,0.5,13.87,10.01,321.53,19025.0,1836.0,0.281,0.461,0.755,0.594,0.591
Online,GARANHUNS,PE,1,17.57,9.47,72.69,19.5,7.51,12.07,26.72,0.59,21.23,14.43,492.44,128786.0,9716.0,0.466,0.556,0.795,0.662,0.664
Online,JABOATÃO DOS GUARARAPES,PE,1,9.13,7.77,74.82,15.95,5.9,6.35,17.61,0.58,19.59,12.81,593.9,642986.0,38022.0,0.585,0.642,0.83,0.692,0.717
Online,OLINDA,PE,1,7.03,11.79,75.16,14.79,7.99,4.99,15.18,0.55,17.11,11.85,640.13,376158.0,30193.0,0.64,0.675,0.836,0.704,0.735
Online,PALMARES,PE,1,21.46,5.51,69.62,28.1,6.7,13.14,32.14,0.49,12.61,9.08,311.09,58392.0,3989.0,0.434,0.55,0.744,0.588,0.622
Online,PETROLINA,PE,1,12.04,9.46,72.95,18.67,4.64,6.99,19.61,0.62,23.62,14.69,605.06,291908.0,13645.0,0.536,0.611,0.799,0.695,0.697
Online,SANTA CRUZ DO CAPIBARIBE,PE,1,16.01,2.68,73.35,17.9,4.55,3.13,10.26,0.45,9.89,6.86,507.05,86786.0,3983.0,0.353,0.506,0.806,0.667,0.648
Online,PENEDO,AL,1,22.83,6.47,71.42,25.1,6.53,15.87,36.82,0.55,17.82,12.2,339.15,60049.0,3943.0,0.407,0.536,0.774,0.602,0.63
Online,ITABAIANA,SE,1,21.79,4.85,73.03,15.52,6.17,6.98,21.91,0.52,14.17,9.78,443.39,86586.0,5369.0,0.369,0.513,0.801,0.645,0.642
Online,LAGARTO,SE,1,25.32,4.38,71.5,28.13,7.34,10.57,28.14,0.5,13.05,9.07,362.8,94431.0,6959.0,0.36,0.515,0.775,0.613,0.625
Online,ALAGOINHAS,BA,1,10.11,6.82,72.39,21.84,7.28,8.02,19.42,0.55,17.6,11.87,553.17,141312.0,10333.0,0.575,0.592,0.79,0.681,0.683
Online,BAIXA GRANDE,BA,1,25.56,2.2,71.49,23.1,9.37,24.43,45.3,0.53,15.15,12.11,243.98,19995.0,1880.0,0.28,0.471,0.775,0.549,0.585
Online,BARREIRAS,BA,1,10.33,8.23,73.43,18.1,4.29,5.52,16.27,0.56,18.07,11.94,602.82,136670.0,5895.0,0.596,0.668,0.807,0.695,0.721
Online,CARINHANHA,BA,1,25.91,1.48,70.77,25.1,6.54,24.67,47.47,0.51,13.97,10.26,209.51,28311.0,1855.0,0.356,0.477,0.763,0.525,0.576
Online,CONCEIÇÃO DO COITÉ,BA,1,19.84,2.96,70.14,27.0,7.92,15.15,32.42,0.48,12.22,8.93,309.61,61858.0,4911.0,0.359,0.517,0.752,0.587,0.611
Online,EUCLIDES DA CUNHA,BA,1,27.43,2.78,69.94,27.6,9.23,23.84,43.14,0.55,19.0,13.47,269.58,56047.0,5193.0,0.277,0.43,0.749,0.565,0.567
Online,EUNÁPOLIS,BA,1,14.8,6.62,72.46,20.5,5.72,5.21,17.93,0.57,18.97,12.27,575.44,99686.0,5731.0,0.499,0.572,0.791,0.687,0.677
Online,IPIAÚ,BA,1,19.91,4.67,72.74,19.8,8.37,12.52,29.68,0.69,34.88,19.9,573.36,44041.0,3717.0,0.434,0.551,0.796,0.687,0.67
Online,ITAMBÉ,BA,1,24.74,2.32,69.99,27.4,8.68,7.53,23.04,0.4,7.53,5.77,312.32,22939.0,2004.0,0.296,0.436,0.75,0.589,0.578
Online,JEQUIÉ,BA,1,15.88,6.97,72.42,21.76,8.31,7.88,22.48,0.55,17.13,11.37,473.92,150577.0,12626.0,0.49,0.568,0.79,0.656,0.665
Online,JUAZEIRO,BA,1,13.35,6.73,72.76,20.11,5.42,7.59,21.56,0.56,17.27,11.27,476.58,197031.0,10723.0,0.511,0.594,0.796,0.657,0.677
Online,PAULO AFONSO,BA,1,16.69,7.12,72.34,20.8,7.13,10.26,22.69,0.58,20.51,13.64,544.73,107558.0,7725.0,0.486,0.572,0.789,0.678,0.674
Online,SÃO DESIDÉRIO,BA,1,25.55,2.32,69.52,28.9,5.52,25.76,40.12,0.57,23.27,16.4,302.2,27073.0,1526.0,0.307,0.449,0.742,0.584,0.579
Online,ARAGUARI,MG,1,4.8,10.77,77.28,11.71,8.9,0.88,4.22,0.47,11.02,7.58,798.63,109297.0,9775.0,0.585,0.716,0.871,0.74,0.773
Online,CONSELHEIRO LAFAIETE,MG,1,3.54,11.49,76.62,14.12,7.64,1.12,5.95,0.49,12.12,8.31,781.59,116043.0,8905.0,0.603,0.697,0.86,0.736,0.761
Online,FORMIGA,MG,1,6.15,9.02,77.43,11.8,9.76,1.25,4.91,0.48,11.35,7.64,746.8,64484.0,6355.0,0.507,0.676,0.874,0.729,0.755
Online,GOVERNADOR VALADARES,MG,1,7.58,9.96,75.06,14.66,8.12,2.36,9.97,0.52,14.29,9.78,678.74,261663.0,21404.0,0.549,0.644,0.834,0.714,0.727
Online,LAVRAS,MG,1,4.14,16.49,77.8,11.4,8.33,0.62,4.35,0.5,12.78,8.99,889.65,91582.0,7680.0,0.618,0.719,0.88,0.757,0.782
Online,MUZAMBINHO,MG,1,6.16,10.52,76.51,13.1,10.15,1.23,5.16,0.46,10.35,7.34,719.94,20324.0,2073.0,0.51,0.652,0.859,0.723,0.74
Online,NOVA LIMA,MG,1,2.87,18.96,78.1,11.67,7.01,0.51,2.84,0.68,34.21,20.89,1731.84,80327.0,5674.0,0.66,0.704,0.885,0.864,0.813
Online,POUSO ALEGRE,MG,1,3.99,14.84,77.33,11.58,7.29,0.83,4.1,0.49,11.72,8.06,878.26,129577.0,9524.0,0.619,0.704,0.872,0.755,0.774
Online,SETE LAGOAS,MG,1,3.99,11.61,75.37,14.8,6.8,1.24,6.11,0.53,14.7,9.72,809.26,213087.0,14560.0,0.59,0.705,0.84,0.742,0.76
Online,VARGINHA,MG,1,4.65,15.54,77.49,12.21,7.17,0.39,3.83,0.51,13.34,9.04,904.57,122584.0,8827.0,0.629,0.707,0.875,0.76,0.778
Online,DOMINGOS MARTINS,ES,1,10.98,5.19,74.98,14.1,8.09,3.09,12.83,0.48,11.8,8.24,551.74,31784.0,2575.0,0.327,0.528,0.833,0.68,0.669
Online,SERRA,ES,1,5.55,7.52,75.66,13.2,4.51,1.57,6.1,0.47,10.92,7.84,705.89,407614.0,18441.0,0.614,0.664,0.844,0.72,0.739
Online,ITAPERUNA,RJ,1,7.62,10.69,75.24,12.66,9.51,1.35,6.57,0.47,10.78,7.66,688.83,94954.0,9118.0,0.536,0.649,0.837,0.716,0.73
Online,ITATIAIA,RJ,1,5.83,9.98,75.16,13.8,7.1,1.08,7.13,0.51,13.44,9.12,773.48,28639.0,2044.0,0.593,0.652,0.836,0.735,0.737
Online,MACAÉ,RJ,1,4.22,12.75,74.66,13.6,4.91,1.38,4.63,0.56,17.46,11.79,1103.42,206005.0,10153.0,0.678,0.681,0.828,0.792,0.764
Online,MAGÉ,RJ,1,5.86,4.89,74.91,13.34,7.22,4.55,12.19,0.49,11.89,8.25,567.59,226225.0,16420.0,0.545,0.626,0.832,0.685,0.709
Online,MARICÁ,RJ,1,4.53,13.28,75.99,12.02,8.44,1.47,4.88,0.49,12.23,8.79,910.41,127228.0,10756.0,0.655,0.692,0.85,0.761,0.765
Online,MIGUEL PEREIRA,RJ,1,6.8,10.49,74.68,14.5,11.79,2.26,7.89,0.55,16.32,10.83,801.63,24530.0,2905.0,0.561,0.675,0.828,0.74,0.745
Online,NOVA FRIBURGO,RJ,1,5.03,11.77,75.77,13.21,9.82,0.57,4.08,0.51,12.79,8.62,894.75,181153.0,17887.0,0.55,0.645,0.846,0.758,0.745
Online,PETRÓPOLIS,RJ,1,3.97,12.08,75.79,12.86,9.9,1.5,5.94,0.55,16.66,11.05,922.49,294326.0,29293.0,0.566,0.639,0.847,0.763,0.745
