id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
id3968,Jornal,O NOROESTE RURAL (EX JORNAL DO ASSENTADO),ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3969,Jornal,O INTERIOR FALA,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3970,Jornal,FOLHA DE NOTICIAS,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3971,Jornal,O FOCO,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3972,Jornal,FOLHA DE ANGATUBA,ANGATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,6.63,8.44,74.6,15.4,7.92,1.55,6.84,0.45,9.6,6.68,597.99,22134.0,1759.0,0.473,0.648,0.827,0.693,0.719
id1991,Jornal,A VOZ DA COSTA VERDE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,5.13,7.42,75.75,12.97,5.22,2.03,6.69,0.5,12.98,9.08,798.68,168814.0,8853.0,0.554,0.605,0.846,0.74,0.724
id1992,Jornal,MARE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,5.13,7.42,75.75,12.97,5.22,2.03,6.69,0.5,12.98,9.08,798.68,168814.0,8853.0,0.554,0.605,0.846,0.74,0.724
id1993,Jornal,ESPORTE TOTAL E NOTICIAS,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,5.13,7.42,75.75,12.97,5.22,2.03,6.69,0.5,12.98,9.08,798.68,168814.0,8853.0,0.554,0.605,0.846,0.74,0.724
id1994,Jornal,A CIDADE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,5.13,7.42,75.75,12.97,5.22,2.03,6.69,0.5,12.98,9.08,798.68,168814.0,8853.0,0.554,0.605,0.846,0.74,0.724
id1995,Jornal,TRIBUNA LIVRE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,5.13,7.42,75.75,12.97,5.22,2.03,6.69,0.5,12.98,9.08,798.68,168814.0,8853.0,0.554,0.605,0.846,0.74,0.724
