codmun,cidade,uf,regiao,pop_dou_2017
2108256,PEDRO DO ROSÁRIO,MA,Nordeste,25000
2108306,PENALVA,MA,Nordeste,38144
2108405,PERI MIRIM,MA,Nordeste,14074
2108454,PERITORÓ,MA,Nordeste,23019
2108504,PINDARÉ-MIRIM,MA,Nordeste,32488
2108801,PIRAPEMAS,MA,Nordeste,18413
2109056,PORTO RICO DO MARANHÃO,MA,Nordeste,5819
2109205,PRESIDENTE JUSCELINO,MA,Nordeste,12656
2109239,PRESIDENTE MÉDICI,MA,Nordeste,6968
2109270,PRESIDENTE SARNEY,MA,Nordeste,18797
2109304,PRESIDENTE VARGAS,MA,Nordeste,11474
2109403,PRIMEIRA CRUZ,MA,Nordeste,15207
2109502,RIACHÃO,MA,Nordeste,19701
2109551,RIBAMAR FIQUENE,MA,Nordeste,7691
2109700,SAMBAÍBA,MA,Nordeste,5568
2109759,SANTA FILOMENA DO MARANHÃO,MA,Nordeste,7708
2110039,SANTA LUZIA DO PARUÁ,MA,Nordeste,24946
2110104,SANTA QUITÉRIA DO MARANHÃO,MA,Nordeste,25334
2110203,SANTA RITA,MA,Nordeste,37090
2110237,SANTANA DO MARANHÃO,MA,Nordeste,13395
2110278,SANTO AMARO DO MARANHÃO,MA,Nordeste,15853
2110401,SÃO BENEDITO DO RIO PRETO,MA,Nordeste,18377
2110609,SÃO BERNARDO,MA,Nordeste,28208
2110658,SÃO DOMINGOS DO AZEITÃO,MA,Nordeste,7291
2110807,SÃO FÉLIX DE BALSAS,MA,Nordeste,4453
2110856,SÃO FRANCISCO DO BREJÃO,MA,Nordeste,11808
2110906,SÃO FRANCISCO DO MARANHÃO,MA,Nordeste,11976
2111003,SÃO JOÃO BATISTA,MA,Nordeste,20307
2111029,SÃO JOÃO DO CARÚ,MA,Nordeste,15450
2111052,SÃO JOÃO DO PARAÍSO,MA,Nordeste,10977
2111078,SÃO JOÃO DO SOTER,MA,Nordeste,18345
2111250,SÃO JOSÉ DOS BASÍLIOS,MA,Nordeste,7484
2111409,SÃO LUÍS GONZAGA DO MARANHÃO,MA,Nordeste,18247
2111532,SÃO PEDRO DA ÁGUA BRANCA,MA,Nordeste,12511
2111573,SÃO PEDRO DOS CRENTES,MA,Nordeste,4601
2111607,SÃO RAIMUNDO DAS MANGABEIRAS,MA,Nordeste,18680
2111631,SÃO RAIMUNDO DO DOCA BEZERRA,MA,Nordeste,4946
2111672,SÃO ROBERTO,MA,Nordeste,6704
2111706,SÃO VICENTE FERRER,MA,Nordeste,20913
2111722,SATUBINHA,MA,Nordeste,13949
2111748,SENADOR ALEXANDRE COSTA,MA,Nordeste,11042
2111763,SENADOR LA ROCQUE,MA,Nordeste,13877
2111789,SERRANO DO MARANHÃO,MA,Nordeste,11040
2111805,SÍTIO NOVO,MA,Nordeste,17851
2111953,SUCUPIRA DO RIACHÃO,MA,Nordeste,5571
2112001,TASSO FRAGOSO,MA,Nordeste,8455
2112233,TRIZIDELA DO VALE,MA,Nordeste,21749
2112274,TUFILÂNDIA,MA,Nordeste,5746
2112308,TUNTUM,MA,Nordeste,41342
2112407,TURIAÇU,MA,Nordeste,35063
2112852,VILA NOVA DOS MARTÍRIOS,MA,Nordeste,13480
2114007,ZÉ DOCA,MA,Nordeste,51084
2200053,ACAUÃ,PI,Nordeste,6966
2200103,AGRICOLÂNDIA,PI,Nordeste,5062
2200251,ALAGOINHA DO PIAUÍ,PI,Nordeste,7526
2200277,ALEGRETE DO PIAUÍ,PI,Nordeste,4838
2200301,ALTO LONGÁ,PI,Nordeste,14070
2200459,ALVORADA DO GURGUÉIA,PI,Nordeste,5326
2200608,ANGICAL DO PIAUÍ,PI,Nordeste,6684
2200707,ANÍSIO DE ABREU,PI,Nordeste,9705
2200806,ANTÔNIO ALMEIDA,PI,Nordeste,3114
2200905,AROAZES,PI,Nordeste,5748
2200954,AROEIRAS DO ITAIM,PI,Nordeste,2511
2201002,ARRAIAL,PI,Nordeste,4656
2201051,ASSUNÇÃO DO PIAUÍ,PI,Nordeste,7717
2201101,AVELINO LOPES,PI,Nordeste,11503
2201150,BAIXA GRANDE DO RIBEIRO,PI,Nordeste,11375
2201176,BARRA D'ALCÂNTARA,PI,Nordeste,3889
2201309,BARREIRAS DO PIAUÍ,PI,Nordeste,3294
2201408,BARRO DURO,PI,Nordeste,6925
2201556,BELA VISTA DO PIAUÍ,PI,Nordeste,3947
2201572,BELÉM DO PIAUÍ,PI,Nordeste,3503
2201606,BENEDITINOS,PI,Nordeste,10037
2201705,BERTOLÍNIA,PI,Nordeste,5413
2201739,BETÂNIA DO PIAUÍ,PI,Nordeste,6106
2201770,BOA HORA,PI,Nordeste,6663
2201804,BOCAINA,PI,Nordeste,4428
2201919,BOM PRINCÍPIO DO PIAUÍ,PI,Nordeste,5535
2201929,BONFIM DO PIAUÍ,PI,Nordeste,5577
2201945,BOQUEIRÃO DO PIAUÍ,PI,Nordeste,6300
2201960,BRASILEIRA,PI,Nordeste,8192
2201988,BREJO DO PIAUÍ,PI,Nordeste,3823
2202000,BURITI DOS LOPES,PI,Nordeste,19464
2202026,BURITI DOS MONTES,PI,Nordeste,8108
2202059,CABECEIRAS DO PIAUÍ,PI,Nordeste,10406
2202075,CAJAZEIRAS DO PIAUÍ,PI,Nordeste,3497
2202083,CAJUEIRO DA PRAIA,PI,Nordeste,7510
2202091,CALDEIRÃO GRANDE DO PIAUÍ,PI,Nordeste,5684
2202109,CAMPINAS DO PIAUÍ,PI,Nordeste,5522
2202117,CAMPO ALEGRE DO FIDALGO,PI,Nordeste,4957
2202133,CAMPO GRANDE DO PIAUÍ,PI,Nordeste,5842
2202174,CAMPO LARGO DO PIAUÍ,PI,Nordeste,7154
2202251,CANAVIEIRA,PI,Nordeste,3892
2202406,CAPITÃO DE CAMPOS,PI,Nordeste,11229
2202455,CAPITÃO GERVÁSIO OLIVEIRA,PI,Nordeste,4033
2202505,CARACOL,PI,Nordeste,10729
2202539,CARAÚBAS DO PIAUÍ,PI,Nordeste,5769
2202554,CARIDADE DO PIAUÍ,PI,Nordeste,4982
2202653,CAXINGÓ,PI,Nordeste,5330
2202703,COCAL,PI,Nordeste,27338
