id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo,Duplicata,Fechamento
id500,Jornal,ESTADO CAPIXABA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id501,Jornal,JORNAL EM PAUTA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,,,
id5121,Online,SECULO DIÁRIO,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Atlas da Notícia,,,
id5634,Jornal,DIÁRIO DO NOROESTE,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5635,Jornal,CORREIO DO ESTADO,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5636,Jornal,A NOTÍCIA,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5637,Jornal,TRIBUNA DE CRICARÉ,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5638,Jornal,HOJE NOTÍCIAS,VILA VALÉRIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Central de Diários,,,
id5854,Jornal,A GAZETA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,ANJ,,,
id5855,Jornal,A TRIBUNA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,ANJ,,,
id5856,Jornal,NOTÍCIA AGORA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,ANJ,,,
id5857,Jornal,TRIBUNA DO CRICARÉ,NÃO INFORMADO NO SITE DA ANJ,n/d,ES,Espírito Santo,Sudeste,Brasil,ANJ,,Sim,
id6416,Rádio,RADIO JOVEM BARRA LTDA,BARRA DE SÃO FRANCISCO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6457,Televisão,PREFEITURA MUNICIPAL DE BARRA DE SAO FRANCISCO,BARRA DE SÃO FRANCISCO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6460,Rádio,FUNDACAO ENIVALDO DOS ANJOS,BARRA DE SÃO FRANCISCO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6462,Rádio,RADIO SAO FRANCISCO LTDA,BARRA DE SÃO FRANCISCO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6878,Rádio,SOMBRASIL COMUNICACOES LTDA,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6879,Televisão,SOCIEDADE DOS AMIGOS DE PEDREIRAS,DOMINGOS MARTINS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6880,Rádio,SOCIEDADE ALFREDENSE DE RADIODIFUSAO LTDA,ALFREDO CHAVES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6881,Rádio,SISTEMA NORTE DE RADIO LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6882,Rádio,SISTEMA CANAA DE COMUNICACAO LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6883,Rádio,SISTEMA ARACRUZ DE RADIODIFUSAO LTDA,ARACRUZ,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6884,Rádio,SISTEMA ALAN KARDEC DE RADIODIFUSAO LTDA,SANTA LEOPOLDINA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6885,Rádio,RADIO VITORIA S/A,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6886,Rádio,RADIO SUL CAPIXABA FM DE GUACUI LTDA,GUAÇUÍ,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6887,Rádio,RADIO PLANETA LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6888,Rádio,RADIO NOVA GERACAO LTDA,COLATINA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6889,Rádio,RADIO MUSICAL FM LTDA,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6890,Rádio,RADIO MARATAIZES FM LTDA,MARATAÍZES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6891,Rádio,FUNDACAO CULTURAL SANTA BARBARA,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6892,Rádio,RADIO FM NORTE COMUNICACAO LTDA,BOA ESPERANÇA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6893,Rádio,RADIO FM 102 LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6894,Rádio,RADIO E TV NORTE LTDA,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6895,Rádio,RADIO E TELEVISAO ESPIRITO SANTO - RTV/ES,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6896,Rádio,RADIO DIFUSORA VALE DO CRICARE LTDA,NOVA VENÉCIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6897,Televisão,FUNDACAO CULTURAL SANTA BARBARA,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6898,Rádio,RADIO CULTURA DE CASTELO FM LTDA,CASTELO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6899,Rádio,RADIO CIDADA LTDA,LINHARES,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6900,Rádio,RADIO CANAA LTDA,FUNDÃO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6901,Rádio,RADIO ASTRAL S/A,VITÓRIA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
id6902,Televisão,PREFEITURA MUNICIPAL DE SAO MATEUS,SÃO MATEUS,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6903,Televisão,PREFEITURA MUNICIPAL DE PRESIDENTE KENNEDY,PRESIDENTE KENNEDY,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6904,Televisão,PREFEITURA MUNICIPAL DE CASTELO,CASTELO,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6905,Rádio,PREFEITURA MUNICIPAL DE CARIACICA,CARIACICA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6906,Televisão,PREFEITURA MUNICIPAL DE BOM JESUS DO NORTE,BOM JESUS DO NORTE,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,Não,,
id6907,Televisão,TELEVISAO CACHOEIRO LTDA,CACHOEIRO DE ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,,,
