cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
ABADIA DE GOIÁS,GO,Centro-Oeste,1,5200050,8207,12
ABADIA DOS DOURADOS,MG,Sudeste,1,3100104,7059,14
ABARÉ,BA,Nordeste,1,2900207,20189,4
ABAÍRA,BA,Nordeste,1,2900108,9199,10
ABDON BATISTA,SC,Sul,1,4200051,2604,38
ABEL FIGUEIREDO,PA,Norte,1,1500131,7231,13
ACAIACA,MG,Sudeste,1,3100401,4065,24
ACAJUTIBA,BA,Nordeste,1,2900306,15727,6
ACARAÚ,CE,Nordeste,1,2300200,62199,1
ACREÚNA,GO,Centro-Oeste,1,5200134,22076,4
ADRIANÓPOLIS,PR,Sul,1,4100202,6254,15
AFOGADOS DA INGAZEIRA,PE,Nordeste,1,2600104,37017,2
AFRÂNIO,PE,Nordeste,1,2600203,19411,5
AGROLÂNDIA,SC,Sul,1,4200200,10581,9
AGRONÔMICA,SC,Sul,1,4200309,5437,18
AGUANIL,MG,Sudeste,1,3100807,4440,22
AGUDOS,SP,Sudeste,1,3500709,36880,2
AIURUOCA,MG,Sudeste,1,3101201,6209,16
AJURICABA,RS,Sul,1,4300208,7358,13
ALAGOA GRANDE,PB,Nordeste,1,2500304,28565,3
ALBERTINA,MG,Sudeste,1,3101409,3046,32
ALCINÓPOLIS,MS,Centro-Oeste,1,5000252,5188,19
ALCOBAÇA,BA,Nordeste,2,2900801,23376,8
ALDEIAS ALTAS,MA,Nordeste,1,2100303,26387,3
ALECRIM,RS,Sul,1,4300307,6736,14
ALEGRE,ES,Sudeste,2,3200201,32146,6
ALEXANDRIA,RN,Nordeste,1,2400505,13827,7
ALEXÂNIA,GO,Centro-Oeste,2,5200308,26770,7
ALFREDO CHAVES,ES,Sudeste,2,3200300,15082,13
ALFREDO WAGNER,SC,Sul,1,4200705,9960,10
ALIANÇA DO TOCANTINS,TO,Norte,1,1700350,5527,18
ALMEIRIM,PA,Norte,1,1500503,33195,3
ALMINO AFONSO,RN,Nordeste,1,2400604,4854,20
ALPESTRE,RS,Sul,2,4300505,7433,26
ALPINÓPOLIS,MG,Sudeste,2,3101904,19846,10
ALTAMIRA DO PARANÁ,PR,Sul,1,4100459,2948,33
ALTEROSA,MG,Sudeste,1,3102001,14551,6
ALTINHO,PE,Nordeste,1,2600807,22896,4
ALTO ALEGRE,RR,Norte,1,1400050,15933,6
ALTO GARÇAS,MT,Centro-Oeste,1,5100409,11532,8
ALTO PARANÁ,PR,Sul,2,4100608,14693,13
ALTO PARAÍSO DE GOIÁS,GO,Centro-Oeste,2,5200605,7514,26
ALTO PARNAÍBA,MA,Nordeste,1,2100501,11001,9
ALTO PIQUIRI,PR,Sul,2,4100707,10222,19
ALTO RIO DOCE,MG,Sudeste,2,3102100,11693,17
ALUMÍNIO,SP,Sudeste,2,3501152,18324,10
ALVARENGA,MG,Sudeste,1,3102209,4199,23
ALVINÓPOLIS,MG,Sudeste,1,3102308,15599,6
ALVORADA D'OESTE,RO,Norte,1,1100346,16747,5
ALVORADA DE MINAS,MG,Sudeste,1,3102407,3673,27
ALVORADA DO NORTE,GO,Centro-Oeste,1,5200803,8645,11
AMARAL FERRADOR,RS,Sul,1,4300638,6854,14
AMARANTE,PI,Nordeste,1,2200509,17322,5
AMARANTE DO MARANHÃO,MA,Nordeste,1,2100600,41106,2
AMARGOSA,BA,Nordeste,2,2901007,38259,5
AMONTADA,CE,Nordeste,2,2300754,42901,4
AMPARO DO SERRA,MG,Sudeste,1,3102506,4924,20
AMPÉRE,PR,Sul,1,4101002,18886,5
AMÉLIA RODRIGUES,BA,Nordeste,2,2901106,26409,7
AMÉRICA DOURADA,BA,Nordeste,1,2901155,16798,5
AMÉRICO DE CAMPOS,SP,Sudeste,1,3501806,5967,16
ANADIA,AL,Nordeste,1,2700201,17818,5
ANAGÉ,BA,Nordeste,1,2901205,19568,5
ANAJATUBA,MA,Nordeste,1,2100709,27352,3
ANASTÁCIO,MS,Centro-Oeste,2,5000708,24954,8
ANCHIETA,SC,Sul,1,4200804,5832,17
ANDARAÍ,BA,Nordeste,1,2901304,13737,7
ANDRELÂNDIA,MG,Sudeste,1,3102803,12507,7
ANDRÉ DA ROCHA,RS,Sul,1,4300661,1306,76
ANGATUBA,SP,Sudeste,2,3502200,24634,8
ANGELINA,SC,Sul,1,4200903,4943,20
ANGICOS,RN,Nordeste,1,2400802,11909,8
ANHANGUERA,GO,Centro-Oeste,1,5201207,1126,88
ANICUNS,GO,Centro-Oeste,1,5201306,21746,4
ANITA GARIBALDI,SC,Sul,2,4201000,7537,26
ANITÁPOLIS,SC,Sul,1,4201109,3248,30
ANORI,AM,Norte,1,1300102,20196,4
ANTONINA,PR,Sul,2,4101200,19420,10
ANTÔNIO DIAS,MG,Sudeste,1,3103009,9637,10
ANTÔNIO JOÃO,MS,Centro-Oeste,1,5000906,8808,11
ANTÔNIO PRADO DE MINAS,MG,Sudeste,1,3103108,1664,60
APIACÁ,ES,Sudeste,1,3200508,7932,12
APICUM-AÇU,MA,Nordeste,1,2100832,18374,5
APORÉ,GO,Centro-Oeste,1,5201504,4143,24
AQUIRAZ,CE,Nordeste,1,2301000,79128,1
ARABUTÃ,SC,Sul,1,4201273,4281,23
ARACI,BA,Nordeste,1,2902104,55935,1
ARACITABA,MG,Sudeste,1,3103306,2111,47
ARACRUZ,ES,Sudeste,2,3200607,98393,2
ARAGARÇAS,GO,Centro-Oeste,2,5201702,19884,10
ARAGUAINHA,MT,Centro-Oeste,1,5101209,931,107
ARAGUAPAZ,GO,Centro-Oeste,1,5202155,7862,12
ARAGUATINS,TO,Norte,2,1702208,35216,5
ARAIOSES,MA,Nordeste,1,2100907,46074,2
ARAL MOREIRA,MS,Centro-Oeste,2,5001243,11771,16
ARAMARI,BA,Nordeste,1,2902203,11703,8
ARANDU,SP,Sudeste,1,3503109,6368,15
ARANTINA,MG,Sudeste,1,3103603,2873,34
ARAPOEMA,TO,Norte,2,1702307,6756,29
ARAPONGA,MG,Sudeste,1,3103702,8544,11
ARAPORÃ,MG,Sudeste,1,3103751,6774,14
ARAPOTI,PR,Sul,2,4101606,27906,7
ARAPUTANGA,MT,Centro-Oeste,2,5101258,16223,12
ARAPUÁ,MG,Sudeste,1,3103801,2883,34
ARAQUARI,SC,Sul,1,4201307,35268,2
ARARUNA,PB,Nordeste,2,2501005,20418,9
ARATACA,BA,Nordeste,1,2902252,11661,8
ARAÇUAÍ,MG,Sudeste,1,3103405,37361,2
AREADO,MG,Sudeste,2,3104304,14956,13
AREALVA,SP,Sudeste,1,3503406,8452,11
AREIA BRANCA,RN,Nordeste,1,2401107,27401,3
AREIAL,PB,Nordeste,1,2501203,6975,14
AREIAS,SP,Sudeste,1,3503505,3879,25
AREIÓPOLIS,SP,Sudeste,1,3503604,11107,9
ARENÁPOLIS,MT,Centro-Oeste,1,5101308,9455,10
ARENÓPOLIS,GO,Centro-Oeste,1,5202353,2957,33
ARGIRITA,MG,Sudeste,1,3104403,2859,34
ARINOS,MG,Sudeste,1,3104502,18243,5
ARMAZÉM,SC,Sul,2,4201505,8520,23
ARNEIROZ,CE,Nordeste,1,2301505,7777,12
ARRAIAS,TO,Norte,1,1702406,10727,9
ARROIO DO MEIO,RS,Sul,2,4301008,20272,9
ARROIO DO TIGRE,RS,Sul,1,4301206,13388,7
ARROIO TRINTA,SC,Sul,1,4201604,3564,28
ARUJÁ,SP,Sudeste,2,3503901,86430,2
ARVOREZINHA,RS,Sul,2,4301404,10614,18
ARÊS,RN,Nordeste,1,2401206,14307,6
ASCURRA,SC,Sul,1,4201703,7877,12
ASSAÍ,PR,Sul,2,4101903,15999,12
ASTOLFO DUTRA,MG,Sudeste,1,3104601,14118,7
ATALAIA,AL,Nordeste,1,2700409,47744,2
ATALAIA DO NORTE,AM,Norte,1,1300201,19054,5
ATALANTA,SC,Sul,1,4201802,3254,30
ATALÉIA,MG,Sudeste,1,3104700,13762,7
ATILIO VIVACQUA,ES,Sudeste,1,3200706,11804,8
AUGUSTINÓPOLIS,TO,Norte,1,1702554,18089,5
AUGUSTO CORRÊA,PA,Norte,2,1500909,44734,4
AUGUSTO SEVERO,RN,Nordeste,1,2401305,9768,10
AURELINO LEAL,BA,Nordeste,1,2902401,12706,7
AURIFLAMA,SP,Sudeste,1,3504206,15085,6
AURILÂNDIA,GO,Centro-Oeste,1,5202601,3422,29
AURORA,CE,Nordeste,2,2301703,24496,8
AURORA,SC,Sul,1,4201901,5688,17
AUTAZES,AM,Norte,1,1300300,38454,2
AVAÍ,SP,Sudeste,1,3504305,5337,18
BAIXIO,CE,Nordeste,1,2301802,6228,16
BAIXO GUANDU,ES,Sudeste,2,3200805,31794,6
BALNEÁRIO ARROIO DO SILVA,SC,Sul,2,4201950,12344,16
BALNEÁRIO GAIVOTA,SC,Sul,2,4202073,10413,19
BALNEÁRIO PINHAL,RS,Sul,2,4301636,12671,15
BALNEÁRIO RINCÃO,SC,Sul,1,4220000,12403,8
BANANAL,SP,Sudeste,1,3504909,10867,9
BANANEIRAS,PB,Nordeste,2,2501500,21156,9
BANDEIRA,MG,Sudeste,1,3105202,4984,20
BANDEIRA DO SUL,MG,Sudeste,1,3105301,5739,17
BANDEIRANTES,MS,Centro-Oeste,1,5001508,6795,14
BARBOSA FERRAZ,PR,Sul,1,4102505,12300,8
BARCARENA,PA,Norte,1,1501303,121190,0
BARRA DA ESTIVA,BA,Nordeste,1,2902807,22082,4
BARRA DE SANTA ROSA,PB,Nordeste,1,2501609,15421,6
BARRA DO BUGRES,MT,Centro-Oeste,1,5101704,33644,2
BARRA DO CHOÇA,BA,Nordeste,1,2902906,34121,2
BARRA DO RIBEIRO,RS,Sul,1,4301909,13365,7
BARRA DO RIO AZUL,RS,Sul,1,4301925,1915,52
BARRA DO ROCHA,BA,Nordeste,1,2903102,6258,15
BARRA DO TURVO,SP,Sudeste,1,3505401,7781,12
BARRA DOS COQUEIROS,SE,Nordeste,1,2800605,29807,3
BARRA FUNDA,RS,Sul,1,4301958,2516,39
BARRA VELHA,SC,Sul,2,4202107,27781,7
BARRACÃO,PR,Sul,1,4102604,10314,9
BARRACÃO,RS,Sul,1,4301800,5474,18
BARRAS,PI,Nordeste,1,2201200,46291,2
BARREIRINHA,AM,Norte,1,1300508,31542,3
BARREIROS,PE,Nordeste,1,2601409,42438,2
BARRINHA,SP,Sudeste,1,3505609,31921,3
BARRO,CE,Nordeste,2,2302008,22440,8
BARRO ALTO,GO,Centro-Oeste,1,5203203,10435,9
BARROSO,MG,Sudeste,1,3105905,20882,4
BARÃO DE COCAIS,MG,Sudeste,1,3105400,31968,3
BASTOS,SP,Sudeste,2,3505807,21073,9
BATALHA,AL,Nordeste,1,2700706,18757,5
BATALHA,PI,Nordeste,1,2201507,26421,3
BATAYPORÃ,MS,Centro-Oeste,1,5002001,11248,8
BAYEUX,PB,Nordeste,2,2501807,97010,2
BAÍA FORMOSA,RN,Nordeste,1,2401404,9309,10
BELA VISTA DE GOIÁS,GO,Centro-Oeste,1,5203302,28514,3
BELA VISTA DE MINAS,MG,Sudeste,1,3106002,10416,9
BELA VISTA DO PARAÍSO,PR,Sul,2,4102802,15656,12
BELFORD ROXO,RJ,Sudeste,1,3300456,495783,0
BELO CAMPO,BA,Nordeste,1,2903508,18247,5
BELO ORIENTE,MG,Sudeste,2,3106309,26158,7
BELO VALE,MG,Sudeste,2,3106408,7841,25
BELÉM,AL,Nordeste,1,2700805,4453,22
BELÉM,PB,Nordeste,2,2501906,17685,11
BELÉM DE MARIA,PE,Nordeste,1,2601508,11992,8
BELÉM DO SÃO FRANCISCO,PE,Nordeste,1,2601607,20670,4
BENEDITO LEITE,MA,Nordeste,1,2101806,5528,18
BENEDITO NOVO,SC,Sul,1,4202206,11425,8
BENJAMIN CONSTANT,AM,Norte,1,1300607,41329,2
BENTO FERNANDES,RN,Nordeste,1,2401602,5527,18
BERILO,MG,Sudeste,1,3106507,12360,8
BERNARDINO DE CAMPOS,SP,Sudeste,1,3506300,11180,8
BERTÓPOLIS,MG,Sudeste,1,3106606,4678,21
BICAS,MG,Sudeste,2,3106903,14545,13
BILAC,SP,Sudeste,1,3506409,7837,12
BIRITIBA-MIRIM,SP,Sudeste,1,3506607,31793,3
BITURUNA,PR,Sul,2,4102901,16627,12
BOA ESPERANÇA,ES,Sudeste,1,3201001,15460,6
BOA ESPERANÇA DO SUL,SP,Sudeste,1,3506706,14727,6
BOA NOVA,BA,Nordeste,1,2903706,14069,7
BOA VISTA DA APARECIDA,PR,Sul,1,4103057,7911,12
BOA VISTA DO BURICÁ,RS,Sul,1,4302204,6829,14
BOA VISTA DO TUPIM,BA,Nordeste,1,2903805,19502,5
BOCA DA MATA,AL,Nordeste,1,2701001,27590,3
BOCAIÚVA DO SUL,PR,Sul,2,4103107,12477,16
BODOQUENA,MS,Centro-Oeste,1,5002159,7820,12
BOM JARDIM,RJ,Sudeste,2,3300506,26566,7
BOM JARDIM DA SERRA,SC,Sul,1,4202503,4694,21
BOM JARDIM DE MINAS,MG,Sudeste,1,3107505,6644,15
BOM JESUS,PI,Nordeste,1,2201903,24711,4
BOM JESUS,RS,Sul,2,4302303,11773,16
BOM JESUS DA PENHA,MG,Sudeste,1,3107604,4203,23
BOM JESUS DE GOIÁS,GO,Centro-Oeste,2,5203500,23998,8
BOM JESUS DO AMPARO,MG,Sudeste,1,3107703,6018,16
BOM JESUS DO NORTE,ES,Sudeste,1,3201100,10254,9
BOM JESUS DO TOCANTINS,PA,Norte,1,1501576,16517,6
BOM PRINCÍPIO,RS,Sul,1,4302352,13189,7
BOM RETIRO,SC,Sul,1,4202602,9796,10
BOM SUCESSO,MG,Sudeste,1,3108008,17907,5
BONFIM,RR,Norte,2,1400159,11945,16
BONFINÓPOLIS DE MINAS,MG,Sudeste,1,3108206,5764,17
BONITO,PE,Nordeste,1,2602308,38044,2
BONITO DE SANTA FÉ,PB,Nordeste,1,2502409,11938,8
BOQUEIRÃO DO LEÃO,RS,Sul,1,4302451,7914,12
BOQUIM,SE,Nordeste,1,2800670,26961,3
BORBOREMA,SP,Sudeste,1,3507407,15791,6
BORDA DA MATA,MG,Sudeste,2,3108305,19055,10
BORRAZÓPOLIS,PR,Sul,1,4103305,7280,13
BOSSOROCA,RS,Sul,1,4302501,6801,14
BOTELHOS,MG,Sudeste,2,3108404,15322,13
BOTUMIRIM,MG,Sudeste,1,3108503,6540,15
BOTUVERÁ,SC,Sul,1,4202701,5100,19
BRANQUINHA,AL,Nordeste,1,2701100,10675,9
BRASIL NOVO,PA,Norte,1,1501725,14689,6
BRASILÂNDIA,MS,Centro-Oeste,1,5002308,11864,8
BRASNORTE,MT,Centro-Oeste,1,5101902,18688,5
BRASÍLIA DE MINAS,MG,Sudeste,1,3108602,32732,3
BRAZÓPOLIS,MG,Sudeste,2,3108909,14889,13
BRAÚNA,SP,Sudeste,1,3507704,5557,17
BRAÚNAS,MG,Sudeste,1,3108800,5003,19
BREJINHO DE NAZARÉ,TO,Norte,1,1703701,5499,18
BREJO,MA,Nordeste,1,2102101,36102,2
BREJO DO CRUZ,PB,Nordeste,1,2502805,14107,7
BREVES,PA,Norte,2,1501808,99896,2
BRITÂNIA,GO,Centro-Oeste,1,5203807,5817,17
BROTAS DE MACAÚBAS,BA,Nordeste,1,2904506,10974,9
BRÁS PIRES,MG,Sudeste,1,3108701,4550,21
BUENÓPOLIS,MG,Sudeste,1,3109204,10594,9
BUERAREMA,BA,Nordeste,1,2904704,19256,5
BURI,SP,Sudeste,1,3508009,19737,5
BURITI ALEGRE,GO,Centro-Oeste,1,5203906,9535,10
BURITI BRAVO,MA,Nordeste,1,2102309,23495,4
BURITINÓPOLIS,GO,Centro-Oeste,1,5203962,3389,29
BURITIRAMA,BA,Nordeste,1,2904753,21786,4
BURITIS,MG,Sudeste,1,3109303,24689,4
BUTIÁ,RS,Sul,2,4302709,21247,9
CAARAPÓ,MS,Centro-Oeste,1,5002407,29292,3
CAATIBA,BA,Nordeste,1,2904803,7841,12
CABECEIRAS,GO,Centro-Oeste,1,5204003,7935,12
CABEDELO,PB,Nordeste,1,2503209,68033,1
CABO DE SANTO AGOSTINHO,PE,Nordeste,1,2602902,204653,0
CABO VERDE,MG,Sudeste,2,3109501,14330,13
CABROBÓ,PE,Nordeste,1,2603009,33856,2
CACHOEIRA,BA,Nordeste,1,2904902,35139,2
CACHOEIRA ALTA,GO,Centro-Oeste,1,5204102,12002,8
CACHOEIRA DE GOIÁS,GO,Centro-Oeste,1,5204201,1414,70
CACHOEIRA DE MINAS,MG,Sudeste,1,3109709,11646,8
CACHOEIRA DE PAJEÚ,MG,Sudeste,1,3102704,9479,10
CACHOEIRA DOURADA,MG,Sudeste,1,3109808,2691,37
CACHOEIRINHA,PE,Nordeste,1,2603108,20209,4
CACIMBA DE DENTRO,PB,Nordeste,1,2503506,17156,5
CACIQUE DOBLE,RS,Sul,2,4303202,5100,39
CACULÉ,BA,Nordeste,1,2905008,23817,4
CAFARNAUM,BA,Nordeste,1,2905305,19006,5
CAFELÂNDIA,SP,Sudeste,2,3508801,17645,11
CAIBI,SC,Sul,2,4203105,6213,32
CAIÇARA DO RIO DO VENTO,RN,Nordeste,1,2401909,3680,27
CAJAMAR,SP,Sudeste,1,3509205,73921,1
CAJATI,SP,Sudeste,1,3509254,28870,3
CAJOBI,SP,Sudeste,1,3509304,10444,9
CAJUEIRO,AL,Nordeste,1,2701308,21526,4
CAJURI,MG,Sudeste,1,3110202,4108,24
CALDAS,MG,Sudeste,2,3110301,14529,13
CALÇOENE,AP,Norte,1,1600204,10525,9
CAMACAN,BA,Nordeste,2,2905602,33310,6
CAMANDUCAIA,MG,Sudeste,2,3110509,22057,9
CAMARGO,RS,Sul,1,4303558,2733,36
CAMBARÁ,PR,Sul,2,4103602,25401,7
CAMBARÁ DO SUL,RS,Sul,2,4303608,6680,29
CAMBORIÚ,SC,Sul,2,4203204,78731,2
CAMBUCI,RJ,Sudeste,1,3300902,15124,6
CAMBUQUIRA,MG,Sudeste,1,3110707,13053,7
CAMOCIM DE SÃO FÉLIX,PE,Nordeste,1,2603504,18583,5
CAMPANÁRIO,MG,Sudeste,1,3110806,3757,26
CAMPESTRE,MG,Sudeste,2,3111002,21440,9
CAMPINA DA LAGOA,PR,Sul,2,4103909,15042,13
CAMPINA DAS MISSÕES,RS,Sul,1,4303707,5994,16
CAMPINA GRANDE DO SUL,PR,Sul,2,4104006,42547,4
CAMPINA VERDE,MG,Sudeste,1,3111101,20079,4
CAMPINAÇU,GO,Centro-Oeste,1,5204656,3740,26
CAMPO ALEGRE,AL,Nordeste,1,2701407,57548,1
CAMPO ALEGRE,SC,Sul,1,4203303,12012,8
CAMPO ALEGRE DE GOIÁS,GO,Centro-Oeste,1,5204805,7149,13
CAMPO BELO DO SUL,SC,Sul,1,4203402,7177,13
CAMPO BONITO,PR,Sul,1,4104055,4162,24
CAMPO DO TENENTE,PR,Sul,1,4104105,7829,12
CAMPO ERÊ,SC,Sul,2,4203501,8787,22
CAMPO FLORIDO,MG,Sudeste,1,3111408,7886,12
CAMPO FORMOSO,BA,Nordeste,2,2906006,73448,2
CAMPO LIMPO PAULISTA,SP,Sudeste,2,3509601,82520,2
CAMPO NOVO,RS,Sul,2,4304002,5161,38
CAMPOS ALTOS,MG,Sudeste,2,3111507,15387,12
CAMPOS GERAIS,MG,Sudeste,2,3111606,29057,6
CANARANA,BA,Nordeste,1,2906204,26862,3
CANAVIEIRAS,BA,Nordeste,2,2906303,33002,6
CANAÃ,MG,Sudeste,1,3111705,4699,21
CANDEIAS,MG,Sudeste,2,3112000,15147,13
CANDEIAS DO JAMARI,RO,Norte,2,1100809,25266,7
CANDIBA,BA,Nordeste,1,2906600,14792,6
CANDIOTA,RS,Sul,1,4304358,9406,10
CANGUARETAMA,RN,Nordeste,1,2402204,34267,2
CANGUÇU,RS,Sul,2,4304507,56103,3
CANINDÉ DE SÃO FRANCISCO,SE,Nordeste,1,2801207,29372,3
CANTAGALO,PR,Sul,1,4104451,13505,7
CANTANHEDE,MA,Nordeste,1,2102705,21759,4
CANTO DO BURITI,PI,Nordeste,1,2202307,20831,4
CANÁPOLIS,BA,Nordeste,1,2906105,10151,9
CANÁPOLIS,MG,Sudeste,1,3111804,12117,8
CAPANEMA,PA,Norte,2,1502202,67150,2
CAPARAÓ,MG,Sudeste,1,3112109,5489,18
CAPELA,AL,Nordeste,1,2701704,17354,5
CAPELA DE SANTANA,RS,Sul,1,4304689,11455,8
CAPELA DO ALTO ALEGRE,BA,Nordeste,1,2906857,12199,8
CAPETINGA,MG,Sudeste,1,3112406,7152,13
CAPIM GROSSO,BA,Nordeste,1,2906873,31392,3
CAPISTRANO,CE,Nordeste,1,2302909,17668,5
CAPITÃO ENÉAS,MG,Sudeste,1,3112703,15237,6
CAPITÃO LEÔNIDAS MARQUES,PR,Sul,2,4104600,15850,12
CAPITÃO POÇO,PA,Norte,2,1502301,52839,3
CAPITÓLIO,MG,Sudeste,1,3112802,8682,11
CAPUTIRA,MG,Sudeste,1,3112901,9431,10
CARACARAÍ,RR,Norte,2,1400209,20807,9
CARACOL,MS,Centro-Oeste,1,5002803,5972,16
CARAMBEÍ,PR,Sul,1,4104659,22282,4
CARANDAÍ,MG,Sudeste,2,3113206,25376,7
CARAUARI,AM,Norte,1,1301001,28337,3
CARAVELAS,BA,Nordeste,1,2906907,22740,4
CARAÍ,MG,Sudeste,1,3113008,23781,4
CARAÚBAS,RN,Nordeste,2,2402303,20707,9
CAREAÇU,MG,Sudeste,2,3113602,6757,29
CAREIRO,AM,Norte,1,1301100,37399,2
CARIACICA,ES,Sudeste,2,3201308,387368,0
CARIDADE,CE,Nordeste,1,2303006,22320,4
CARIRA,SE,Nordeste,1,2801405,21842,4
CARIÚS,CE,Nordeste,1,2303303,18804,5
CARLOS CHAGAS,MG,Sudeste,1,3113701,19750,5
CARMO DA CACHOEIRA,MG,Sudeste,2,3113909,12350,16
CARMO DA MATA,MG,Sudeste,1,3114006,11559,8
CARMO DE MINAS,MG,Sudeste,1,3114105,14822,6
CARMO DO CAJURU,MG,Sudeste,2,3114204,22136,9
CARMÓPOLIS,SE,Nordeste,1,2801504,16275,6
CARMÓPOLIS DE MINAS,MG,Sudeste,2,3114501,18995,10
CARNAUBAL,CE,Nordeste,1,2303402,17631,5
CARNAÍBA,PE,Nordeste,1,2603900,19440,5
CARNAÚBA DOS DANTAS,RN,Nordeste,1,2402402,8188,12
CAROLINA,MA,Nordeste,2,2102804,23803,8
CARPINA,PE,Nordeste,2,2604007,82685,2
CARRANCAS,MG,Sudeste,1,3114600,4110,24
CARVALHÓPOLIS,MG,Sudeste,1,3114709,3581,27
CASA BRANCA,SP,Sudeste,1,3510807,30144,3
CASA NOVA,BA,Nordeste,1,2907202,73382,1
CASCA,RS,Sul,2,4304903,9079,22
CASCALHO RICO,MG,Sudeste,1,3115003,3071,32
CASCAVEL,CE,Nordeste,1,2303501,71079,1
CASINHAS,PE,Nordeste,1,2604155,14274,7
CASTELO,ES,Sudeste,2,3201407,38304,5
CASTELO DO PIAUÍ,PI,Nordeste,1,2202604,19410,5
CASTILHO,SP,Sudeste,1,3511003,20362,4
CATANDUVAS,SC,Sul,1,4204004,10632,9
CATARINA,CE,Nordeste,1,2303600,20451,4
CATUÍPE,RS,Sul,2,4305009,9335,21
CAUCAIA,CE,Nordeste,2,2303709,362223,0
CAXAMBU DO SUL,SC,Sul,1,4204103,3850,25
CAÇU,GO,Centro-Oeste,2,5204300,15287,13
CEARÁ-MIRIM,RN,Nordeste,2,2402600,73849,2
CEDRO,CE,Nordeste,2,2303808,25063,7
CELSO RAMOS,SC,Sul,1,4204152,2760,36
CENTENÁRIO DO SUL,PR,Sul,1,4105102,11246,8
CENTRAL,BA,Nordeste,1,2907608,17969,5
CENTRAL DE MINAS,MG,Sudeste,1,3115706,7112,14
CEREJEIRAS,RO,Norte,1,1100056,17934,5
CERRO AZUL,PR,Sul,1,4105201,17885,5
CERRO GRANDE DO SUL,RS,Sul,1,4305173,11486,8
CEZARINA,GO,Centro-Oeste,1,5205455,8386,11
CHAPADA DO NORTE,MG,Sudeste,1,3116100,15675,6
CHARQUEADA,SP,Sudeste,1,3511706,16772,5
CHIADOR,MG,Sudeste,1,3116209,2789,35
CHIAPETTA,RS,Sul,2,4305405,4026,49
CHOROZINHO,CE,Nordeste,1,2303956,19197,5
CHORÓ,CE,Nordeste,1,2303931,13384,7
CHUÍ,RS,Sul,2,4305439,6456,30
CIDREIRA,RS,Sul,1,4305454,14710,6
CIRÍACO,RS,Sul,1,4305504,4983,20
CLEMENTINA,SP,Sudeste,1,3511904,8254,12
CLÁUDIO,MG,Sudeste,2,3116605,28287,7
COARACI,BA,Nordeste,1,2908002,19022,5
COARI,AM,Norte,1,1301209,84762,1
COCAL DO SUL,SC,Sul,2,4204251,16446,12
COCALZINHO DE GOIÁS,GO,Centro-Oeste,1,5205513,19583,5
COELHO NETO,MA,Nordeste,2,2103406,48756,4
COIMBRA,MG,Sudeste,1,3116704,7559,13
COLINAS DO TOCANTINS,TO,Norte,1,1705508,34839,2
COLOMBO,PR,Sul,2,4105805,237402,0
COLORADO,RS,Sul,1,4305603,3478,28
COLUNA,MG,Sudeste,1,3116803,9146,10
COMENDADOR GOMES,MG,Sudeste,1,3116902,3138,31
COMERCINHO,MG,Sudeste,1,3117009,7599,13
COMODORO,MT,Centro-Oeste,2,5103304,19932,10
CONCEIÇÃO DA APARECIDA,MG,Sudeste,1,3117108,10374,9
CONCEIÇÃO DA BARRA,ES,Sudeste,2,3201605,31574,6
CONCEIÇÃO DAS ALAGOAS,MG,Sudeste,1,3117306,26818,3
CONCEIÇÃO DAS PEDRAS,MG,Sudeste,1,3117207,2858,34
CONCEIÇÃO DE IPANEMA,MG,Sudeste,1,3117405,4644,21
CONCEIÇÃO DO ARAGUAIA,PA,Norte,2,1502707,46571,4
CONCEIÇÃO DO CASTELO,ES,Sudeste,1,3201704,12944,7
CONCEIÇÃO DO JACUÍPE,BA,Nordeste,1,2908507,33876,2
CONCEIÇÃO DO RIO VERDE,MG,Sudeste,1,3117702,13724,7
CONCEIÇÃO DOS OUROS,MG,Sudeste,1,3117801,11467,8
CONCHAL,SP,Sudeste,2,3512209,27554,7
CONDADO,PB,Nordeste,1,2504504,6753,14
CONDEÚBA,BA,Nordeste,2,2908705,18191,10
CONGONHAL,MG,Sudeste,1,3117900,11706,8
CONSELHEIRO PENA,MG,Sudeste,2,3118403,23240,8
COQUEIRAL,MG,Sudeste,1,3118700,9432,10
CORAÇÃO DE JESUS,MG,Sudeste,1,3118809,27052,3
CORBÉLIA,PR,Sul,2,4106308,17193,11
CORDEIROS,BA,Nordeste,1,2909000,8904,11
CORDEIRÓPOLIS,SP,Sudeste,2,3512407,23793,8
CORDISLÂNDIA,MG,Sudeste,1,3119005,3587,27
COROACI,MG,Sudeste,1,3119203,10339,9
CORONEL JOÃO PESSOA,RN,Nordeste,1,2402907,4980,20
CORONEL MURTA,MG,Sudeste,1,3119500,9411,10
CORONEL PACHECO,MG,Sudeste,1,3119609,3125,32
CORONEL SAPUCAIA,MS,Centro-Oeste,1,5003157,15016,6
CORREIA PINTO,SC,Sul,1,4204558,13358,7
CORTÊS,PE,Nordeste,1,2604809,12560,7
CORUMBÁ DE GOIÁS,GO,Centro-Oeste,1,5205802,11086,9
CORUPÁ,SC,Sul,1,4204509,15541,6
CORURIPE,AL,Nordeste,2,2702306,57498,3
COSMORAMA,SP,Sudeste,1,3512902,7374,13
CRAVINHOS,SP,Sudeste,2,3513108,34651,5
CRISSIUMAL,RS,Sul,2,4306007,14195,14
CRISTALINA,GO,Centro-Oeste,2,5206206,55347,3
