cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
MORRINHOS,CE,Nordeste,1,2308906,22222,4
MORRO DO PILAR,MG,Sudeste,1,3143708,3339,29
MORTUGABA,BA,Nordeste,1,2921807,12529,7
MOSSÂMEDES,GO,Centro-Oeste,1,5213905,4700,21
MOSTARDAS,RS,Sul,2,4312500,12794,15
MOZARLÂNDIA,GO,Centro-Oeste,1,5214002,15125,6
MUANÁ,PA,Norte,1,1504901,39231,2
MUCURI,BA,Nordeste,2,2922003,42072,4
MUNHOZ,MG,Sudeste,1,3143807,6261,15
MUNIZ FREIRE,ES,Sudeste,1,3203700,18745,5
MUQUI,ES,Sudeste,1,3203809,15806,6
MURICI,AL,Nordeste,1,2705507,28579,3
MURITIBA,BA,Nordeste,1,2922300,30631,3
MUTUM,MG,Sudeste,1,3144003,27528,3
MUTUÍPE,BA,Nordeste,1,2922409,22998,4
MÂNCIO LIMA,AC,Norte,1,1200336,17910,5
MÃE DO RIO,PA,Norte,1,1504059,29260,3
NATIVIDADE,RJ,Sudeste,2,3303104,14960,13
NATÉRCIA,MG,Sudeste,1,3144409,4820,20
NAZARENO,MG,Sudeste,1,3144508,8583,11
NAZARÉ,TO,Norte,1,1714302,4060,24
NAZARÉ DA MATA,PE,Nordeste,1,2609501,32280,3
NAZARÉ PAULISTA,SP,Sudeste,1,3532405,18121,5
NEVES PAULISTA,SP,Sudeste,1,3532504,8999,11
NEÓPOLIS,SE,Nordeste,1,2804409,18953,5
NHANDEARA,SP,Sudeste,1,3532603,11398,8
NILÓPOLIS,RJ,Sudeste,1,3303203,158329,0
NIOAQUE,MS,Centro-Oeste,2,5005806,14092,14
NOBRES,MT,Centro-Oeste,1,5105903,14917,6
NORTELÂNDIA,MT,Centro-Oeste,2,5106000,5895,33
NOSSA SENHORA DA GLÓRIA,SE,Nordeste,2,2804508,36613,5
NOVA ALVORADA DO SUL,MS,Centro-Oeste,2,5006002,20772,9
NOVA ARAÇÁ,RS,Sul,1,4312807,4471,22
NOVA BASSANO,RS,Sul,1,4312906,9599,10
NOVA BOA VISTA,RS,Sul,1,4312955,1932,51
NOVA CANTU,PR,Sul,1,4116802,6295,15
NOVA CRIXÁS,GO,Centro-Oeste,1,5214838,12810,7
NOVA ERECHIM,SC,Sul,1,4211405,4879,20
NOVA GLÓRIA,GO,Centro-Oeste,1,5214861,8521,11
NOVA GRANADA,SP,Sudeste,1,3533007,21071,4
NOVA ITARANA,BA,Nordeste,1,2922805,8428,11
