id,segmento_principal,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo
6810,Televisão,PREFEITURA MUNICIPAL DE ITAPIUNA,ITAPIÚNA,n/d,CE,Ceará,Nordeste,Brasil,MCTIC,0
12186,Televisão,PREFEITURA MUNICIPAL DE ITAPOLIS,ITÁPOLIS,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
10371,Televisão,PREFEITURA MUNICIPAL DE ITAPUA DO OESTE,ITAPUÃ DO OESTE,n/d,RO,Rondônia,Norte,Brasil,MCTIC,0
12115,Televisão,PREFEITURA MUNICIPAL DE ITAPUI,ITAPUÍ,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
7199,Televisão,PREFEITURA MUNICIPAL DE ITAPURANGA,ITAPURANGA,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
6391,Televisão,PREFEITURA MUNICIPAL DE ITAQUARA,ITAQUARA,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
10801,Televisão,PREFEITURA MUNICIPAL DE ITAQUI,ITAQUI,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
6990,Televisão,PREFEITURA MUNICIPAL DE ITARANA,ITARANA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,0
6390,Televisão,PREFEITURA MUNICIPAL DE ITARANTIM,ITARANTIM,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
11783,Televisão,PREFEITURA MUNICIPAL ITARARÉ,ITARARÉ,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
11816,Televisão,PREFEITURA MUNICIPAL DE ITARIRI,ITARIRI,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
12063,Televisão,PREFEITURA MUNICIPAL DE ITATIBA,ITATIBA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
10667,Televisão,PREFEITURA MUNICIPAL DE ITATIBA DO SUL,ITATIBA DO SUL,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
12348,Televisão,PREFEITURA MUNICIPAL DE ITATINGA,ITATINGA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
10324,Televisão,PREFEITURA MUNICIPAL DE ITAU,ITAÚ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,MCTIC,0
7840,Televisão,PREFEITURA MUNICIPAL DE ITAÚNA,ITAÚNA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7839,Televisão,PREFEITURA MUNICIPAL DE ITAVERAVA,ITAVERAVA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8443,Televisão,PREFEITURA MUNICIPAL DE ITINGA,ITINGA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
12187,Televisão,PREFEITURA MUNICIPAL DE ITIRADINA,ITIRAPINA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
12333,Televisão,PREFEITURA DA ESTÂNCIA TURÍSTICA DE ITU,ITU,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
6389,Televisão,PREFEITURA MUNICIPAL DE ITUACU,ITUAÇU,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
6578,Televisão,PREFEITURA MUNICIPAL DE ITUBERA,ITUBERÁ,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
8444,Televisão,PREFEITURA MUNICIPAL DE ITUETA,ITUETA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7167,Televisão,PREFEITURA MUNICIPAL DE ITUMBIARA,ITUMBIARA,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
7838,Televisão,PREFEITURA MUNICIPAL DE ITUMIRIM,ITUMIRIM,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
11134,Televisão,PREFEITURA MUNICIPAL DE ITUPORANGA,ITUPORANGA,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
7837,Televisão,PREFEITURA MUNICIPAL DE ITURAMA,ITURAMA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
6388,Televisão,PREFEITURA MUNICIPAL DE IUIU,IUIÚ,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
6971,Televisão,PREFEITURA MUNICIPAL DE IUNA,IÚNA,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,0
8734,Televisão,PREFEITURA MUNICIPAL DE IVINHEMA,IVINHEMA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,MCTIC,0
11211,Televisão,PREFEITURA MUNICIPAL DE JABORA,JABORÁ,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
6506,Televisão,PREFEITURA MUNICIPAL DE JACARACI,JACARACI,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
6058,Televisão,PREFEITURA MUNICIPAL DE JACARE DOS HOMENS,JACARÉ DOS HOMENS,n/d,AL,Alagoas,Nordeste,Brasil,MCTIC,0
8890,Televisão,PREFEITURA MUNICIPAL DE JACIARA,JACIARA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,MCTIC,0
11363,Televisão,PREFEITURA MUNICIPAL DE JACINTO MACHADO,JACINTO MACHADO,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
11815,Televisão,PREFEITURA MUNICIPAL DE JACUPIRANGA,JACUPIRANGA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
8191,Televisão,PREFEITURA MUNICIPAL DE JACUTINGA,JACUTINGA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
10666,Televisão,PREFEITURA MUNICIPAL DE JACUTINGA,JACUTINGA,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
6387,Televisão,PREFEITURA MUNICIPAL DE JAGUAQUARA,JAGUAQUARA,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
10863,Televisão,PREFEITURA MUNICIPAL DE JAGUARI,JAGUARI,n/d,RS,Rio Grande do Sul,Sul,Brasil,MCTIC,0
9909,Rádio,PREFEITURA MUNICIPAL DE JAGUARIAIVA,JAGUARIAÍVA,n/d,PR,Paraná,Sul,Brasil,MCTIC,0
11814,Rádio,PREFEITURA MUNICIPAL DE JAGUARIUNA,JAGUARIÚNA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
11272,Televisão,PREFEITURA MUNICIPAL DE JAGUARUNA,JAGUARUNA,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
11813,Televisão,PREFEITURA MUNICIPAL DE JAMBEIRO,JAMBEIRO,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
7836,Televisão,PREFEITURA MUNICIPAL DE JANAUBA,JANAÚBA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
